territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Chile,USER_905f22fa45,RT {{USER_MENTION}}: Joven estudiante lucha contra el Cáncer. Ella está a pocos meses de graduarse de médico. En estos momentos se encuentra…,Historia de lucha personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_905f22fa45,"{{LOCATION}}, esperanza y deseo de que se cumplan las profecías, todo en una plegaria",Espiritualidad y fe,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,"Ha pasado un año de tu partida, pero tu vida está marcada en los que dejaste como legado, tus hijos, acá con Debi... {{URL}}",Recuerdo póstumo,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_905f22fa45,"RT {{USER_MENTION}}: Por favor les pido que compartan esta información y llegue a sus familiares  y personas de buen corazón 🙏

{{PERSON}}…",Petición de difusión,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,RT {{USER_MENTION}}: {{LOCATION}}. Por favor se solicitan donantes de sangre 🩸 {{PERSON}} 🙏🏻 {{URL}},Petición de donación,SERV,"Servicios públicos, administración y derechos sociales"
Chile,USER_905f22fa45,A quien pueda ayudar a {{PERSON}} hágalo por favor,Petición de ayuda,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,"55 años de la partida a la eternidad de mi padre, {{PERSON}}, que su memoria sea bendecida por toda la eternidad. Mi padre fue un ejemplo de vida y de lucha, ZL.",Recuerdo póstumo y homenaje familiar,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_905f22fa45,"Esos inmigrantes, al igual que mis padres, en este caso judíos desplazados de {{LOCATION}}, hicoeron de {{LOCATION}} un país de promer mundo hasta que llegó el chavismo y lo volvio 💩",Política y crítica social,POL,"Política, instituciones y actualidad pública"
Chile,USER_d2973fa89e,Que pasará con la {{PERSON}} y el {{USER_MENTION}} con relación a la ayuda humanitaria ??{{USER_MENTION}},Ayuda humanitaria y política,POL,"Política, instituciones y actualidad pública"
Chile,USER_d2973fa89e,Un periodista y una bestia !,Opinión personal,OTROS,Otros temas o contenido ambiguo
Chile,USER_d2973fa89e,Así o mas claro? {{URL}},Compartir información,OTROS,Otros temas o contenido ambiguo
Chile,USER_d2973fa89e,{{USER_MENTION}} escuchas ráfagas que se oyen en {{LOCATION}} en democracia revolucionaria y de paz #conclu3Dias,Política y conflictos,POL,"Política, instituciones y actualidad pública"
Chile,USER_d2973fa89e,#conclu3Dias {{USER_MENTION}} hasta cuando? 110 muertos que mas quiere el burro presidencial para salvar su narcopellejo,Crítica política,POL,"Política, instituciones y actualidad pública"
Chile,USER_d2973fa89e,{{USER_MENTION}} estoy deleitandome el coco crunch y choco avellana LES FELICITO un éxtasis,Comida y disfrute,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_d2973fa89e,¡Intenta estos simples y sencillos ejercicios y olvídate para siempre de tener papada! {{URL}},Belleza y ejercicio,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Chile,USER_d2973fa89e,"Que artista {{PERSON}} !!! Viñas del Mar enamorada de ella. Buen comienzo en esta etapa !!"" solo éxitos",Música y arte,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_d2973fa89e,Muy cierto {{URL}},Compartir información,OTROS,Otros temas o contenido ambiguo
Chile,USER_d2973fa89e,Excelencia medica enhorabuena {{URL}},Medicina y salud,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Chile,USER_d2973fa89e,{{USER_MENTION}} chuta que bueno el programa #{{PERSON}} te pasaste,Televisión y radio,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_d2973fa89e,{{USER_MENTION}} felicidades a las mujeres guerreras valientes esforzadas y dadoras de todo especialmente a {{USER_MENTION}} y {{USER_MENTION}} de {{LOCATION}},Homenaje a mujeres,POL,"Política, instituciones y actualidad pública"
Chile,USER_d2973fa89e,{{USER_MENTION}} que diferencia del programa de hoy !! Excelente con {{USER_MENTION}} y {{PERSON}} Excelente dicción emoción y contenido,Televisión y radio,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_d2973fa89e,¡CocinaSIN estrena nueva App! - Blog de Cocina SIN {{URL}} vía {{USER_MENTION}},Cocina y tecnología,CONSUMO,"Consumo, tecnología y compras"
Chile,USER_24a091b720,🐼 #bpso #bpsoucchristus {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{URL}},Evento profesional,ECO,"Economía, empleo y vivienda"
Chile,USER_24a091b720,utimsitas en analisis de brecha {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} #bpso #bpsoucchristus {{URL}},Proyecto profesional,ECO,"Economía, empleo y vivienda"
Chile,USER_24a091b720,ganamos premio por ser los primeros en presentar 🔥 {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} #bpso #bpsoucchristus {{URL}},Logro profesional,ECO,"Economía, empleo y vivienda"
Chile,USER_24a091b720,UTIMsit{{USER_MENTION}} presentes 🏆 {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} #bpso #bpsoucchristus {{URL}},Participación en evento,OTROS,Otros temas o contenido ambiguo
Chile,USER_24a091b720,no sabia que {{LOCATION}}/RNAO estaba en muchos lados en {{LOCATION}} 😱 #bpso #bpsoucchristus {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{URL}},Aprendizaje profesional,EDU,Educación y formación
Chile,USER_24a091b720,Formacion de Champions equipo UTIM🏆♥️ {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} #bpso #bpsoucchristus {{URL}},Equipo profesional,ECO,"Economía, empleo y vivienda"
Chile,USER_24a091b720,VOY A TAYLOR CTM,Concierto,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_24a091b720,"Odio ser migrañosa, dormir siempre es una ruleta rusa… se me pasara? despertare con mas dolor? Duermo 30 min y depierto con una jaqueca de mierda cuando me dormi sin dolor de cabeza? 🥴",Problemas de salud,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Chile,USER_24a091b720,"{{USER_MENTION}} my disney trip just ruin because of you, money that I’ve earn working my ass of the last 2 years of pandemic and now I’m stuck in PR until tuesday (no thanks to you that offer me a flight on THRUSDAY WTF?) lossing my ticket to disney and universal",Queja de viaje,MOV,"Movilidad, transporte y espacio urbano"
Chile,USER_24a091b720,"Por favor cuídense, de verdad que no hay espacio para recibirlos, pacientes hospitalizados en la urgencia por 3-4 días porque no hay camas para sacarlos, esta todo lleno y colapsado",Crisis hospitalaria,SERV,"Servicios públicos, administración y derechos sociales"
Chile,USER_24a091b720,"aprovechando el nuevo record de hoy les aclaro. NO HAY CAMAS UCI!!! todos los servicios UCI estan a su 100%, lo que hay son servicios NO UCI, convirtiendose en UCI con personal QUE NO ES UCI!!! que estan dandolo todo para capacitarse en tiempo record en intentar estar a la altura",Crisis sanitaria,SERV,"Servicios públicos, administración y derechos sociales"
Chile,USER_24a091b720,es mi idea o siempre estan el 95% de las camas ocupadas 🙄,Ocupación hospitalaria,SERV,"Servicios públicos, administración y derechos sociales"
Chile,USER_24a091b720,"{{PERSON}} J.M.M estuvo conmigo hospitalizado varias semanas, en un punto todos la vimos negra con él, CNAF a todo lo que daba, prono vigil con PAFI que solo caian, al borde de la UCI y el famoso ""se va de tubo"" como decimos en la {{LOCATION}}. Fue una lucha dura contra el bicho tanto de él... {{URL}}",Experiencia hospitalaria,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Chile,USER_24a091b720,"por favor cuídense CUÍDENSE, dejando de lado que quedan solo 97 camas UCI a nivel de la RM, dejando lado que como personal estamos con un burn out terrible... cada vez los pacientes graves son mas jovenes, si el año pasado eran entre 70-80 años ahora vamos en los 40-70 😣",Alerta sanitaria,SERV,"Servicios públicos, administración y derechos sociales"
Chile,USER_24a091b720,amo mi rosita 🌹 {{URL}},Afecto personal,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_24a091b720,le cuento o no le cuento nah a mi mamá que me hice 2 tatuajes je 😬,Relación familiar,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_24a091b720,HAN PASADO 84 AÑOS 🥺💖 #{{PERSON}} {{URL}},Sentimiento personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_24a091b720,"toda la respuesta de la red ha sido pero brutal 💖 mi gestor a penas supo llamo para ofrecer las 7 camas que tenia, que solo llamaran pa avisar que venian, ni si quiera tenian que entregarlos y haciendo malabares para tratar de recibir mas",Coordinación sanitaria,SERV,"Servicios públicos, administración y derechos sociales"
Chile,USER_24a091b720,me encanta el plan vacunación del gobierno... yo trabajo en un servicio intensivo covid y {{PERSON}} esperando mi vacuna desde fines de diciembre que seriamos los primeros {{PERSON}},Crítica a gestión pública,POL,"Política, instituciones y actualidad pública"
Chile,USER_24a091b720,{{LOCATION}} este show por nara sobre la RM que queri que te diga,Actualidad regional,TERR,"Territorio, identidad local y comunidad"
Chile,USER_24a091b720,"W E O N, la norvina 4 de ABH vale cada puto peso que pague por ella, me dolió en el alma cuando pase la tarjeta pero ahora que la probe AY DIOH MIOH {{URL}}",Reseña de producto,CONSUMO,"Consumo, tecnología y compras"
Chile,USER_24a091b720,si cuando tenia 12 las cantaba con tanto sentimiento como si supiera {{PERSON}} ahora todas me llegan {{PERSON}},Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_7b43ffe4f2,{{PERSON}} que el junior esta hablando que la {{PERSON}} es ordinaria 🙄 la media perso hermanito #TierraBrava13,Reality tv,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_7b43ffe4f2,No estoy soportando al grupo de “machitos” del reality wn  #TierraBrava13,Reality tv,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_7b43ffe4f2,"Csm que nominaciones más wenas, me encanta ver como los 🐀 se traicionan #GranHermanoCHV",Reality tv,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_7b43ffe4f2,"Pagaron {{LOCATION}}, esto si que no lo esperaba 🥳",Finanzas personales,ECO,"Economía, empleo y vivienda"
Chile,USER_7b43ffe4f2,"{{LOCATION}} que me carga cuando estas poniendo musica y te dicen “pero pon otra cosa mas movida”, les preguntas que canción quieren escuchar para darles en el gusto y te dicen “no se po algo mas movido” oh que me da rabia esa {{PERSON}} 🤬🤬🤬",Queja cotidiana,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_7b43ffe4f2,"Cada día me frustra mas el hecho de verme superado por los problemas, me gustaría ser el yo que tenia 15 años y nada le afectaba en gran medida 😪",Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_7b43ffe4f2,"Oye que paja vivir al lado del cuartel de bomberos, anoche sonó como nunca la sirena 😔😴",Queja de convivencia,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_7b43ffe4f2,Con todo ❤️ #FotoEscolarxBoric {{URL}},Política,POL,"Política, instituciones y actualidad pública"
Chile,USER_7b43ffe4f2,"#GabrielNosUne #GabrielBoricPresidente #VamosJuntosPorBoric

Se consigue el triunfo ✊🏾🌳",Política,POL,"Política, instituciones y actualidad pública"
Chile,USER_7b43ffe4f2,"Me acaba de salir un hongo en un #manjarate que aun no estaba vencido, que asco wn 🤢 {{USER_MENTION}}  espero se hagan responsables de los productos que elaboran {{USER_MENTION}} {{URL}}",Queja de producto,CONSUMO,"Consumo, tecnología y compras"
Chile,USER_7b43ffe4f2,"Nunca había valorado tanto el poder dormir bien ☺️ es algo tan básico, pero que afecta tanto cuando se pierde 😴",Bienestar personal,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Chile,USER_7b43ffe4f2,Maravilloso,Contenido no interpretable,NOINT,Contenido no interpretable
Chile,USER_7b43ffe4f2,Qué chucha lo difícil que es encontrar pega cuando sales de la u wn 😔,Búsqueda laboral,ECO,"Economía, empleo y vivienda"
Chile,USER_7b43ffe4f2,Es buen momento para comenzar con la maratón de GOT 🙈,Cine y series,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_7b43ffe4f2,"Debo decir que estoy bastante afectado, porque hasta mis amigos más improbables están pololeando 😭 y yo aquí todo solterón",Vida amorosa,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_7b43ffe4f2,Mete y la {{PERSON}} de pnp deberían conocerse y vivir felices por siempre 😂 #PadreVsHijo,Cine y series,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_7b43ffe4f2,Csm me acabo de dar cuenta que he pasado en la u casi la misma cantidad de años que pasé en la básica 😓 en qué momento me perdí tanto?,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_7b43ffe4f2,"#melevantoconmega saludos desde conce 😁 ahora me acuesto con {{LOCATION}}, después de una noche de estudio 🤗  la primavera ya se siente en el aire 🌸🌼🌻🌺 bendiciones para todes ❤ {{URL}}",Estudios,EDU,Educación y formación
Chile,USER_7b43ffe4f2,"Que Wea las ""escenas del capítulo anterior"" del mega, son más malos para resumir que yo, dan el capítulo completo wn 🙄",Crítica televisiva,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_7b43ffe4f2,Aguanten los Vengaboys,Música,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_7b43ffe4f2,#EstrenoPNPDos qué clase de Game of thrones es este? 😁,Cine y series,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_b32a003da8,Te di tanto amor que no supiste que hacer con el. {{URL}},Desamor,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_b32a003da8,{{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Chile,USER_b32a003da8,En realidad yo fui la tonta en la relación…,Reflexión de relación,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_b32a003da8,"-Perra.
-¿Perdona?
-Perdonada.",Humor,HUMOR,"Humor, memes y contenido lúdico"
Chile,USER_b32a003da8,"-¿Para ti que es el amor?
-Una mierda.
-¿Te has enamorado alguna vez?
-Si y no me gustaría hacerlo de nuevo.
-Haré que cambies de opinión.",Desilusión amorosa,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_b32a003da8,Personas que juzgan sin conocer.,Crítica social,POL,"Política, instituciones y actualidad pública"
Chile,USER_b32a003da8,"Amo este libró. 😍😍📖

Eleanor&amp;Park. {{URL}}",Lectura,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_b32a003da8,"Tu eres dueña de tu cuerpo, haz lo que creas correcto con tu cuerpo.",Autonomía corporal,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Chile,USER_b32a003da8,"Yo fui una idiota, cuando creía en el amor.💔",Desilusión amorosa,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_b32a003da8,"Estúpidos hombres, se supone que deben de arruinar nuestro labial no nuestro rímel.",Humor de pareja,HUMOR,"Humor, memes y contenido lúdico"
Chile,USER_b32a003da8,{{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Chile,USER_b32a003da8,{{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Chile,USER_b32a003da8,"""Le gustaba cuando notaba que el la miraba y se preguntaba en que estaría pensando.""",Romance,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_b32a003da8,{{PERSON}} estar pensando en algo y no poder expresarlo de la manera correcta.,Dificultad de expresión,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_b32a003da8,Mis acciones fueron una estupidez pero mis sentimientos eran sinceros.,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_b32a003da8,Ser del tipo de persona que aumenta el vocabulario vulgar cada vez que se enfada.,Rasgos de personalidad,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Chile,USER_b32a003da8,"Y aunque no te tuve, fuiste mi primer amor.",Amor no correspondido,REL,"Relaciones personales, afectivas y vida social"
