territorio,usuario,tweet
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: From abuse survivor to self employed thriver, my poetry and artwork books form a powerful trilogy. Try them today for sh…"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: No matter what you’re going through, there’s always something to be grateful for."
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: Some of the most talented people aren’t famous.
They’re creating in bedrooms. Writing in journals. Healing in silence.
And…"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: ☁️⛅️🔷 
....today’s Cloud, the Sky Opened Up°!° {{URL}}"
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: #{{LOCATION}} {{URL}}
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: ¿Cuántas veces puedes perderte antes de que ya no puedas encontrarte?
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: {{LOCATION}} es ser.
Ser es hacer.
Pues hoy me he levantado revolera, contestataria e insumisa. Que no me da la gana de hacer…"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: “..for you, it’s the core. The place of comfort, clarity, and strength that doesn’t bend to fit easier narratives.”"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: A veces no pesa el lunes, 
pesa todo lo que aún no
hemos soltado.

Buenos días! ☕️ {{URL}}"
Catalán,USER_e60b4176ea,⚡😶 {{URL}}
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: {{LOCATION}} que donde manda corazón...no manda cabeza.
Ay, esos corazones suicidas 😜"
Catalán,USER_e60b4176ea,"🌙🌧️🎶🏰🖤🌧️🌊

{{URL}} {{URL}}"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: De lo que no querría arrepentirme nunca
es de no hacerlo."
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: {{URL}}
{{LOCATION}}....🖤🎶"
Catalán,USER_e60b4176ea,"🪟🔆🎶🌙
😌🎶🌊 {{URL}}"
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: 🤗 {{URL}}
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: GOOD MORNING! {{URL}}
Catalán,USER_e60b4176ea,"🩵🤍🏴‍☠️🖤💙

{{URL}} {{URL}}"
Catalán,USER_e60b4176ea,"🖤🐺🌙🎸🍷🎶🎭

{{URL}} {{URL}}"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: El horizonte se ondula. 
El calor inventa rios 
donde solo hay aire. {{URL}}"
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: Promise I know I’m capable.
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: Ella. {{URL}}
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: Un ascenso 𝐅𝐄𝐈𝐓𝐎 𝐍𝐀 𝐌𝐀𝐃𝐑𝐎𝐀 🌱

{{USER_MENTION}} {{LOCATION}} {{URL}}"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: CELTISMO, SOMOS DE {{USER_MENTION}} 🔥

Tras moitos playoff petando á porta, esta familia FEITA NA MADROA acada o ascenso 🌱🩵 Un…"
Catalán,USER_e60b4176ea,"... 🇸🇰🐺🎸 #{{LOCATION}} - #{{LOCATION}} 
🕯️🖤❤️‍🔥

Viernes... 😌🫴🏻🎶♣️

{{URL}}"
Catalán,USER_48a50a6085,De toda la vida #Eurovision es política y os dais cuenta este año? De verdad?😂😂😂😂😂
Catalán,USER_48a50a6085,A día de hoy creo que nadie
Catalán,USER_48a50a6085,"Al final te das cuenta realmente que nadie haría lo mismo por ti, nunca."
Catalán,USER_48a50a6085,Tenía que compartir mi emoción 😍
Catalán,USER_48a50a6085,"Y LO MEJOR DE LA VIDA, EL VIERNES VOY AL ESTRENO DE ANIMALES FANTÁSTICOS 😍😍😍😍😍😍 ay que emoción"
Catalán,USER_48a50a6085,Quiero dormir todo el día
Catalán,USER_48a50a6085,🥲
Catalán,USER_48a50a6085,Mi vida ahora
Catalán,USER_48a50a6085,NECESITO QUE SALGA EL SOL
Catalán,USER_48a50a6085,Primer día de dieta. Voy que exploto de toda la comida 🙃🙃🙃
Catalán,USER_48a50a6085,En este momento:
Catalán,USER_48a50a6085,"No estoy hecha para madrugar la verdad. Para mí la hora perfecta son las 9, no las 7😿💔"
Catalán,USER_48a50a6085,😶
Catalán,USER_48a50a6085,Destruirlo
Catalán,USER_48a50a6085,Que difícil es que alguien piense así 🤦🏼‍♀️
Catalán,USER_48a50a6085,Y por fin lo entendí
Catalán,USER_48a50a6085,"Habéis conocido a esa persona, que después de tanto tiempo pienses y afirmes, ¿como alguien puede ser tan tan malo? ¿De ser tan tan mala persona? Porque yo si"
Catalán,USER_48a50a6085,"Que poco valor tienes para hacer las cosas bien hechas, de verdad"
Catalán,USER_48a50a6085,En todos los sitios bloqueada y me llamas? Pero que clase de hipocresía es esa? 🤷🏼‍♀️
Catalán,USER_48a50a6085,"Te crees cualquier tontería que te digan porque deseas tanto, de verdad, deseas tanto no ser el único que la ha jodido que actúas como un ciego sin sentimientos."
Catalán,USER_48a50a6085,"{{PERSON}}, llegará el día que veas la realidad y te arrepentirás de tus actos xd"
Catalán,USER_48a50a6085,El sentido de las indirectas a día de hoy? Porque yo no lo veo 😂😂😂
Catalán,USER_f26509d22a,"#chiringuitobenzema partidazo de benzema, ya era hora este tío es un maquina"
Catalán,USER_f26509d22a,Yo que encontré mi lugar en el color de tus ojos
Catalán,USER_f26509d22a,Que lo que más daño te hace es lo que más te engancha
Catalán,USER_f26509d22a,4 semanitas y fuera 📚💪
Catalán,USER_f26509d22a,"Eramos la noche y el día.
Pero que noche, la de aquel día."
Catalán,USER_f26509d22a,Estoy obligandome a no sentir
Catalán,USER_f26509d22a,Contigo siempre con lo que nadie nunca
Catalán,USER_f26509d22a,"""¿Quieres ver mi colección de errores? Los tengo de todos los colores."""
Catalán,USER_f26509d22a,"Y una tarde,al volver a su placita de niño ,el hombre quiso ser niño pero ya no pudo ser {{URL}}"
Catalán,USER_f26509d22a,"No fuiste ni tu ni yo, quizás no fue nuestro momento"
Catalán,USER_f26509d22a,Que bonita eres {{LOCATION}} {{URL}}
Catalán,USER_f26509d22a,Que bien sienta perderse de vez en cuando {{URL}}
Catalán,USER_f26509d22a,Hoy me voy a querer como nadie me ha sabido querer
Catalán,USER_f26509d22a,"{{PERSON}}
Como ossquiero {{URL}}"
Catalán,USER_f26509d22a,{{PERSON}} dia con la mejor {{URL}}
Catalán,USER_f26509d22a,Prefiero que me odien por lo que soy que me quieran por lo que no soy
Catalán,USER_f26509d22a,Yo he hecho algo mal en mi anterior vida porque si no no lo entiendo
Catalán,USER_f26509d22a,Aunque me joda decirlo me haces falta
Catalán,USER_f26509d22a,Que bonita eres {{LOCATION}} {{URL}}
Catalán,USER_f26509d22a,Hazme sentir mas de lo que me merezco y punto
Catalán,USER_f26509d22a,"Te guardo en el cajón de los recuerdos, en el cajón de los olvidos,
en el de los sueños rotos y en el de los sueños cumplidos."
Catalán,USER_f26509d22a,Por encima de cualquier pero♥ {{URL}}
