microtema,frecuencia,porcentaje
Conflicto interno,1,0.16
Fandom,1,0.16
Ocio y entretenimiento,1,0.16
Planes románticos,1,0.16
Lenguaje y jerga,1,0.16
Sexualidad,1,0.16
Dilemas románticos,1,0.16
Rendimiento académico,1,0.16
Hábito personal,1,0.16
Crítica de infidelidad,1,0.16
Felicidad en pareja,1,0.16
Búsqueda de un objeto,1,0.16
Control de peso,1,0.16
Crítica de narcisismo,1,0.16
Crítica de hombres,1,0.16
Higiene personal,1,0.16
Problemas de relación,1,0.16
Adopción de mascota,1,0.16
Anhelo de encuentro,1,0.16
Deseo de compañía,1,0.16
Reflexión sobre relación,1,0.16
Reactivación de recuerdos,1,0.16
Mentiras y engaños,1,0.16
Alegría familiar,1,0.16
Relaciones incipientes,1,0.16
Comida y recuerdos,1,0.16
Amistad y celebración,1,0.16
Afecto entre amigos,1,0.16
Observación social,1,0.16
Actividad física,1,0.16
Humor cotidiano,1,0.16
Protesta social,1,0.16
Estado físico,1,0.16
Reacción general,1,0.16
Crítica a la falsedad,1,0.16
Estilo personal,1,0.16
Deseos futuros,1,0.16
Expresión de dolor,1,0.16
Autoaceptación,1,0.16
Recuerdos y fechas especiales,1,0.16
Enfermedad,1,0.16
Frustración interpersonal,1,0.16
Preocupación social,1,0.16
Orgullo local,1,0.16
Dedicación familiar,1,0.16
Determinación personal,1,0.16
Autosuficiencia,1,0.16
Intensa actividad,1,0.16
Situación romántica,1,0.16
Deporte local,1,0.16
Celebración de éxitos,1,0.16
Habilidades de un familiar,1,0.16
Amistad y diversión,1,0.16
Daño interpersonal,1,0.16
Creencia espiritual,1,0.16
Relación de pareja y deseo,1,0.16
Crecimiento personal y altruismo,1,0.16
Pregunta sobre compras online,1,0.16
Deseos positivos,1,0.16
Política y observación de niños,1,0.16
Emociones por un encuentro,1,0.16
Vida social,1,0.16
Expresión de temor,1,0.16
Preocupación por peso,1,0.16
Queja de relación,1,0.16
Culpabilidad por comida,1,0.16
Problemas de sueño,1,0.16
Auto-percepción negativa,1,0.16
Deseo de adelgazar,1,0.16
Deseo de libertad,1,0.16
Exigencia de justicia,1,0.16
Amor a distancia,1,0.16
Trabajo y educación,1,0.16
Dilema emocional,1,0.16
Autoafirmación en redes,1,0.16
Deseo,1,0.16
Queja,1,0.16
Creencia,1,0.16
Opinión sobre la paternidad,1,0.16
Frustración personal,1,0.16
Frustración emocional,1,0.16
Enojo por falta de respeto,1,0.16
Dinámica de pareja,1,0.16
Viajes y quejas,1,0.16
Política y compromiso cívico,1,0.16
Deseo de comida,1,0.16
Reflexión personal y consejo,1,0.16
Docencia y felicitación a amigo,1,0.16
Ocio y frustración,1,0.16
Deseo de ver a persona (artista/público),1,0.16
Cumpleaños,1,0.16
Disfrute del tiempo,1,0.16
Autopercepción negativa,1,0.16
Romance y música,1,0.16
Estudios universitarios,1,0.16
Aprecio y gratitud,1,0.16
Soltería y bienestar personal,1,0.16
Actualización de perfil,1,0.16
Decepción personal,1,0.16
Expresión de enojo,1,0.16
Autovaloración,1,0.16
Sentimiento de insuficiencia,1,0.16
Afecto y gratitud,1,0.16
Actualidad internacional,1,0.16
Actividades domésticas,1,0.16
Estrategias de citas,1,0.16
Experiencia lingüística,1,0.16
Búsqueda de entradas,1,0.16
Amor y afecto,1,0.16
Amor y relaciones,1,0.16
Auto-reflexión,1,0.16
Reciprocidad,1,0.16
Ocio y relajación,1,0.16
Reflexión sobre el amor,1,0.16
Afecto hacia persona,1,0.16
Compromiso de pareja,1,0.16
Reflexión filosófica,1,0.16
Reflexión sobre medios,1,0.16
Contradicción personal,1,0.16
Deseo de compra,1,0.16
Filosofía moral,1,0.16
Amor romántico,1,0.16
Comunicación familiar,1,0.16
Adaptación al cambio,1,0.16
Reflexión sobre la muerte,1,0.16
Atracción personal,1,0.16
Amor doloroso,1,0.16
Conceptos contrastantes,1,0.16
Gestión de decepciones,1,0.16
Sobrepensamiento,1,0.16
Búsqueda de paz,1,0.16
Crítica religiosa,1,0.16
Rechazo de tradiciones,1,0.16
Clima y vestimenta,1,0.16
Añoranza,1,0.16
Bienestar,1,0.16
Afecto,1,0.16
Sentimientos intensos,1,0.16
Autodefensa,1,0.16
Críticas y resentimiento,1,0.16
Interacción romántica/afecto,1,0.16
Humor/evento,1,0.16
Vida laboral,1,0.16
Influencia del entorno,1,0.16
Indumentaria íntima,1,0.16
Interacción informal,1,0.16
Dolor físico,1,0.16
Actividad constante,1,0.16
Recuerdos,1,0.16
Felicidad,1,0.16
Rasgos personales,1,0.16
Esfuerzo y metas,1,0.16
Preocupación y deseo,1,0.16
Justificación,1,0.16
Deportes y entusiasmo,1,0.16
Determinación deportiva,1,0.16
Deseo de socializar,1,0.16
Pasión por el deporte,1,0.16
Nuevo comienzo,1,0.16
Necesidad de apoyo emocional,1,0.16
Vida nocturna y ocio,1,0.16
Planes de ocio y amistad,1,0.16
Oración familiar,1,0.16
Decepción deportiva,1,0.16
Emociones negativas,1,0.16
Consejo,1,0.16
Petición de favores,1,0.16
Vida sexual,1,0.16
Disfrute personal,1,0.16
Violencia,1,0.16
Soledad y bienestar,1,0.16
Apariencias y rutina,1,0.16
Conexión social,1,0.16
Flirteo,1,0.16
Prioridades,1,0.16
Anticipación,1,0.16
Música y baile,1,0.16
Dolor y recuerdos,1,0.16
Autoestima y orgullo,1,0.16
Nostalgia romántica,1,0.16
Ubicación y clima,1,0.16
Ubicación,1,0.16
Gustos personales,1,0.16
Relaciones románticas,1,0.16
Límites personales,1,0.16
