territorio,usuario,tweet,microtema
Colombia,USER_d4a6ec3e24,Increíble el show de {{PERSON}} que la lloren los gringos y los anti reggeaton,Música y entretenimiento
Colombia,USER_d4a6ec3e24,yo con la rosca ajustadísima diciéndole a cada tipo que me habla que no me interesa tener nada casual con nadie para que se espanten de una vez y me dejen en paz {{URL}},Estrategias de citas
Colombia,USER_d4a6ec3e24,{{PERSON}} el portugués,Contenido no interpretable
Colombia,USER_d4a6ec3e24,"sí, siguiente pregunta",Contenido no interpretable
Colombia,USER_d4a6ec3e24,llevo como tres días hablando sólo en jngles porque estoy con unas amigas que no hablan español y recién me descubrí a mí misma TRADUCIENDO MIS PENSAMIENTOS¿¿???¿????¿ jujsjsjskdsssssmkkkk {{URL}},Experiencia lingüística
Colombia,USER_d4a6ec3e24,BUSCO ENTRADAS PARA OASIS HOY O MAÑANA!!!!!!!!!!!!!! CUALQUIERAaaaa,Búsqueda de entradas
Colombia,USER_b243334a39,La vida me dió el mejor regalo y ese eres tú quien me llena de tanto amor y felicidad 😍❤️ {{URL}},Amor y afecto
Colombia,USER_b243334a39,RUSIAAAAAAAAAAAAAAAAAAAAAAAAAAAAA 💛💙❤️,Actualidad internacional
Colombia,USER_b243334a39,"Hoy fue un dia realmente genial, conoci a mi alma gemela jajajaj",Relaciones sentimentales
Colombia,USER_b243334a39,"Déjame robarte un beso que me llegue hasta el alma, como un vallenato de esos viejos que nos gustaban♪♪♪♪",Romance y música
Colombia,USER_b243334a39,Mañana tengo la inducción de la universidad y no me las creo {{PERSON}} 😁,Estudios universitarios
Colombia,USER_b243334a39,"Me he dado cuenta que cualquier otra persona me puede faltar, pero tu no! Eres el mejor de todos y el unico que realmente siempre ha estado {{URL}}",Aprecio y gratitud
Colombia,USER_b243334a39,"Es tan lindo estar sin novio, sin preocupaciones, sin amarguras, sin tristezas, sin tener que llorar por alguien, esa tranquilidad es linda😁",Soltería y bienestar personal
Colombia,USER_b243334a39,"Cuando lo vi, fue un revuelto de sentimientos 😏😀",Emociones por un encuentro
Colombia,USER_b243334a39,yo tengo cita pendiente con todo el mundo 😱😱😱😱😱,Vida social
Colombia,USER_b243334a39,A veces no alcanzan las palabras para expresar el agradecimirnto que hay. Hoy es un día especial… {{URL}},Gratitud
Colombia,USER_b243334a39,Tengo unas ojeras de kilo gracias a la mejor trasnochada que he tenido con mi mejor amigo ♥,Amistad y diversión
Colombia,USER_b243334a39,😊😊😊😊 {{URL}},Contenido no interpretable
Colombia,USER_b243334a39,Hoy mi mayor alegria fue que {{PERSON}} me dijera tia 😊😊😊😊,Alegría familiar
Colombia,USER_b243334a39,Mi mejor amiga me hace una falta enorme 😭,Extrañar a un amigo
Colombia,USER_b243334a39,Vamos lento 🙈 {{URL}},Relaciones incipientes
Colombia,USER_b243334a39,"Comiendo peto y acordarme de: quien quiere peto,  peto peto  🎶🎶",Comida y recuerdos
Colombia,USER_b243334a39,Mi mejor amigo me intento decir borracha por haberlo llamado a decirle feliz día de los amigos poker  🍻💕 {{URL}},Amistad y celebración
Colombia,USER_b243334a39,El mensaje más lindo de hoy fue el de mi mejor amigo  ❤ pinche como te amooooo  👫,Afecto entre amigos
Colombia,USER_b243334a39,Recuerdo que mi última rosa en el día de la mujer fue cuando estaba por alla en primaria  😝,Recuerdos y fechas especiales
Colombia,USER_b243334a39,Dormir todo el día sólo por estar enferma  😢,Enfermedad
Colombia,USER_b243334a39,Extraño tanto a mi mejor amiga  😞,Extrañar a un amigo
Colombia,USER_b243334a39,Ni siquiera con haberle dicho eso dejo la maricada,Frustración interpersonal
Colombia,USER_ad24f647cb,"Hay amigas que a pesar de que no las veamos por mucho tiempo, en el reencuentro es como si el tiempo no hubiera corrido. 🥰 {{USER_MENTION}}",Amistad
Colombia,USER_ad24f647cb,"Este año tendré un grupo de chiquitines y hace mucho tiempo no trabajo con niños tan pequeños, manden mucha suerte {{PERSON}}",Trabajo y educación
Colombia,USER_ad24f647cb,"Escojan muy bien sus parejas, este hombre en momentos tan duros me ha la dado toda la calma y tranquilidad  que sola no he podido obtener, además de que realmente entiende la palabra de ""estar en las malas"". Me gané la lotería ♥️ {{URL}}",Relación de pareja
Colombia,USER_ad24f647cb,"{{LOCATION}} es hermosa, pero la vía entre {{LOCATION}} -Medellin horrible !",Viajes y quejas
Colombia,USER_ad24f647cb,Y ahora a quien le cuento todo esto?,Reflexión personal
Colombia,USER_ad24f647cb,¿Cruzaré la horrible vía Manizales- Bogotá llena de derrumbes solo por ir a votar por {{PERSON}}? Lo haré.,Política y compromiso cívico
Colombia,USER_ad24f647cb,te amo,Expresión de afecto
Colombia,USER_ad24f647cb,{{LOCATION}} a una hamburguesa o algo. 🥹,Deseo de comida
Colombia,USER_ad24f647cb,"Nunca se queden en un lugar que no los haga feliz, por más cambios que eso produzca en sus vidas, de verdad.",Reflexión personal y consejo
Colombia,USER_ad24f647cb,"Nunca había visto que {{USER_MENTION}} hablara tanto de algo, creo que está muy feliz por su práctica y espero que le coja mucho amor a esta vaina llamada docencia y este mismo camino le traiga tantas cosas maravillosas como me las ha traído a mi 🥰 PD: te amo mucho",Docencia y felicitación a amigo
Colombia,USER_ad24f647cb,Dizque el pax noche agotado en {{LOCATION}} 🥲,Ocio y frustración
Colombia,USER_ad24f647cb,Quiero ir a ver {{PERSON}} 😭,Deseo de ver a persona (artista/público)
Colombia,USER_ad24f647cb,🎂❤️ {{URL}},Cumpleaños
Colombia,USER_ad24f647cb,Realmente si me siento tratada como una princesa al lado de este hombre 😌❤️ {{URL}},Relación de pareja
Colombia,USER_ad24f647cb,"Que esta semana no termine tan rápido, por fis 😌",Disfrute del tiempo
Colombia,USER_ad24f647cb,Hoy me siento ✨📈 {{URL}},Sentimiento positivo
Colombia,USER_ad24f647cb,"Nooo que semana tan larga, quiero ver a mi novio ya 🥺",Relación de pareja y deseo
Colombia,USER_ad24f647cb,"En todo el proceso tan difícil pero bonito que he vivido este año, de conocerme a mi misma, he descubierto que poder hacer feliz a otros también hace parte de mi felicidad.✨",Crecimiento personal y altruismo
Colombia,USER_ad24f647cb,¿Alguien conoce a alguien que alguna vez haya pedido por AliExpress? Urgenteee. 🥲,Pregunta sobre compras online
Colombia,USER_ad24f647cb,Amor y mucha paz 🥰 {{URL}},Deseos positivos
Colombia,USER_ad24f647cb,Hace 5 meses estoy con la persona que siempre soñé tener en mi vida. Esperar si vale la pena ❤️,Relación de pareja
Colombia,USER_ad24f647cb,Mis niños de 8 años hacen sino hablar que el gobierno nos está robando el dinero y por eso hay tantas manifestaciones. Me siento re 🥺🥰,Política y observación de niños
Colombia,USER_450e559dd3,"{{LOCATION}} va a echar plomo a todo el que no este de acuerdo con sus chocherias, porque esa es su manera de gobernar, con violencia, con grosería, sometiendo, asustando, amenazando.",Política
Colombia,USER_450e559dd3,"La gente no entiende lo grave que es que {{PERSON}} llegue al poder, no me cabe en el cuerpo el miedo que siento en este momento.",Política
Colombia,USER_450e559dd3,Uno es todo marica pensando que la gente es igual a uno.,Reflexión personal
Colombia,USER_450e559dd3,11:11 - {{USER_MENTION}} PRESIDENTE.,Política
Colombia,USER_450e559dd3,"Ahora mismo, la veo dormir, siento su calor, observo detenidamente su rostro sin inmutarse, sin más, tan frágil, tan vulnerable, puta madre que afortunada soy de tenerla así, sin escudos, siendo ella, siento perfecta.",Amor y pareja
Colombia,USER_450e559dd3,"Yo si quiero toda mi vida al lado de la misma persona,  yo si.",Amor y pareja
Colombia,USER_450e559dd3,"Reaccionen,  nunca permitan están mierda por Dios !!😡",Protesta social
Colombia,USER_450e559dd3,Todo lo del pobre es robado y la trampa del rico se aplaude {{PERSON}},Crítica social
Colombia,USER_450e559dd3,"Uno no se ofende por un juego ni por un reality, uno se ofende porque es el claro ejemplo que en este país pasan cosas tan desleales y nadie hace ni mierda, nadie dice nada, todos ignoran y ""pasan pagina"" #{{LOCATION}}",Crítica social
Colombia,USER_450e559dd3,"Que Dios lleve con bien y vivos a sus casas a todos los que están en la calle esta noche, hoy mi país no tiene nombre😞",Preocupación social
Colombia,USER_450e559dd3,{{PERSON}} mía.,Amor y pareja
Colombia,USER_450e559dd3,"El calor de sus pies junto a los míos, cada noche, todo el tiempo, toda la vida.",Amor y pareja
Colombia,USER_450e559dd3,"No paro de admirar a mi novia, que digo novia, a mi mujer, a mi esposa, a mi compañera de vida, no saben lo bonito que se siente amar de esta manera tan real.",Amor y pareja
Colombia,USER_450e559dd3,Uno no puede obligar a nadie a estar donde no quiere estar😥,Reflexión personal
Colombia,USER_450e559dd3,"No lo puedo creer, enserio.",Reacción general
Colombia,USER_450e559dd3,"Tengo el privilegio de verla cada noche mientras duerme, allí tranquila, llena de paz, sin preocupaciones, tengo el privilegio de ser la mujer que eligió para el resto de su vida, y les puedo jurar que ese es y será mi mejor regalo💙❤",Amor y pareja
Colombia,USER_450e559dd3,"Quiero a esa mujer para toda mi puta vida, se los juro💙❤",Amor y pareja
Colombia,USER_450e559dd3,"{{LOCATION}} panas, que uno se cansa y se abre.",Desilusión social
Colombia,USER_450e559dd3,Te amo amor de todas mis vidas❤💙 {{URL}},Amor y pareja
Colombia,USER_450e559dd3,Volver a vivir - {{PERSON}} ft. {{PERSON}}.,Música
Colombia,USER_450e559dd3,Todo lo que quiero y lo que necesito es a ella.,Amor y pareja
Colombia,USER_3c9006e858,"Te dejo ir, pero mi intención no es culparte y mucho menos hacerte responsable por mi falta de amor propio, permisividad y poca asertividad.",Reflexión sobre relaciones
Colombia,USER_3c9006e858,Que pereza un man tan mentiroso.,Crítica a la falsedad
Colombia,USER_3c9006e858,Después de tantos años decidí cortarme el cabello 🥲,Estilo personal
Colombia,USER_3c9006e858,"Rezo por la mujer que quiero ser en 5 años, espero ser feliz, amada, humilde, y estar haciendo lo que más amo.",Deseos futuros
Colombia,USER_3c9006e858,Me entenderás cuando te duela el alma como a mi.,Expresión de dolor
Colombia,USER_3c9006e858,El mayor perdón me lo debo a mi misma.,Autoaceptación
Colombia,USER_3c9006e858,Gracias vida por qué con cada caída me vuelvo más fuerte,Superación personal
Colombia,USER_3c9006e858,Haces parte de nuestra manada zipaquireña ❤️,Orgullo local
Colombia,USER_3c9006e858,El peor error es complacer a los demás y nunca complacerse a si mismo.,Filosofía de vida
Colombia,USER_3c9006e858,Trabajar duro para ayudar a mamá 😃,Dedicación familiar
Colombia,USER_3c9006e858,No me voy a estresar y mucho menos a rogar cuando se que estoy haciendo las cosas bien,Determinación personal
Colombia,USER_3c9006e858,"Si me toca aprender a vivir las cosas sola, pues se le hace",Autosuficiencia
Colombia,USER_3c9006e858,Ojalá no me quedé ni tiempo para respirar.,Intensa actividad
Colombia,USER_3c9006e858,Yo viendo cómo le da me gusta a todas {{PERSON}},Situación romántica
Colombia,USER_3c9006e858,Hace mucho no me consiento y se llegó la hora  🔥,Cuidado personal
Colombia,USER_3c9006e858,Que tristeza parce que el deporte en {{LOCATION}} sea pura rosca.,Deporte local
Colombia,USER_3c9006e858,"Que chimba que después de tantas derrotas, la vida me este sonriendo y me esté llenando de oportunidades 🔥",Celebración de éxitos
Colombia,USER_3c9006e858,Mi hermana se aprende los temas de {{PERSON}} muy rápido jajaja 😅,Habilidades de un familiar
Colombia,USER_3c9006e858,Estaba durmiendo tan rico y esos cólicos me despiertan 🙄,Malestar físico
Colombia,USER_3c9006e858,Tengo tanto miedo de perder 💔😭,Expresión de temor
Colombia,USER_3c9006e858,Que Dios la perdone por tanto daño que me a hecho.,Daño interpersonal
Colombia,USER_3c9006e858,Todos tenemos un angelito que nos cuida desde el cielo ❤️,Creencia espiritual
Colombia,USER_88d00bf6af,Con ayuda de Dios llegare muy lejos 🙌🏻,Espiritualidad
Colombia,USER_88d00bf6af,Me esforzare lo más que pueda por lograr lo que quiero 🙌🏻,Esfuerzo y metas
Colombia,USER_88d00bf6af,"Que no sea nada grave, por favorrrrrr 🙌🏻",Preocupación y deseo
Colombia,USER_88d00bf6af,Un año de muchas bendiciones ⚽🙌🏻,Deportes
Colombia,USER_88d00bf6af,Hasta aquí llegamos 😔⚽,Decepción deportiva
Colombia,USER_88d00bf6af,Muy agradecido con {{PERSON}} por todo lo que me a dado 🙌🏻,Agradecimiento
Colombia,USER_88d00bf6af,Ya mañana estreno mis guayos 😍,Deportes y entusiasmo
Colombia,USER_88d00bf6af,"Con esta me despido, con esta digo adiós 🎶💪🏻",Despedida
Colombia,USER_88d00bf6af,Vamos a darla con toda hoy ✌🏻⚽,Determinación deportiva
Colombia,USER_88d00bf6af,Quiero ir como a bailar pero no hay con quien 🤦🏻‍♂️,Deseo de socializar
Colombia,USER_88d00bf6af,No quiero parar de jugar fútbol 😔,Pasión por el deporte
Colombia,USER_88d00bf6af,Comenzaré desde cero.,Nuevo comienzo
Colombia,USER_88d00bf6af,Necesito de esos abrazos que le dan seguridad a uno.,Necesidad de apoyo emocional
Colombia,USER_88d00bf6af,Hoy quiero amanecer tomandome unos tragos 🎶🍻🤚🏻,Vida nocturna y ocio
Colombia,USER_88d00bf6af,Ya quiero que llegue el domingo para viajar con mi parcero ✌🏻,Planes de ocio y amistad
Colombia,USER_88d00bf6af,"La persona que ama no tiene miedo, donde hay amor no hay temor. Al contrario, el verdadero amor quita el miedo. Si alguien tiene miedo de que {{PERSON}} lo castigue, es porque no ha aprendido a amar.
1 Juan 4:18",Espiritualidad
Colombia,USER_88d00bf6af,Ojalá mañana toda salga muy bien 🙏🏻,Esperanza
Colombia,USER_88d00bf6af,Dios mi familia y yo necesitamos de ti 🙏🏻🙏🏻,Oración familiar
Colombia,USER_88d00bf6af,"El amor no se esconde, se protege.",Reflexión sobre el amor
Colombia,USER_88d00bf6af,Me siento muy orgulloso de mi 💪🏻,Autoestima y orgullo
Colombia,USER_88d00bf6af,Que hasta durmiendo era lo mas bello que tenía.,Nostalgia romántica
Colombia,USER_29ec48ec92,{{URL}} ya fueron a ver el regalito que les dejé 💕😏 {{URL}},Interacción sugerente
Colombia,USER_29ec48ec92,Te espero en los post y DM para que juguemos y nos divirtamos 💦😈 {{URL}},Interacción sugerente
Colombia,USER_29ec48ec92,💕,Contenido no interpretable
Colombia,USER_29ec48ec92,💕🐕#{{LOCATION}} {{URL}},Mascotas
Colombia,USER_29ec48ec92,En ocasiones pensamos que algo termina cuando en realidad solo esta comenzando.,Reflexión vital
Colombia,USER_29ec48ec92,Talladora de mi espíritu. 🧘🏻‍♀️🍃 {{URL}},Espiritualidad
Colombia,USER_29ec48ec92,"Las mejores cosas de la vida, no son cosas.",Reflexión vital
Colombia,USER_29ec48ec92,#bojacá #frío {{URL}},Ubicación y clima
Colombia,USER_29ec48ec92,La lección es simple,Reflexión general
Colombia,USER_29ec48ec92,{{URL}},Contenido no interpretable
Colombia,USER_29ec48ec92,Belleza  🐩😍 {{URL}},Mascotas
Colombia,USER_29ec48ec92,😚 en {{LOCATION}} {{URL}},Ubicación
Colombia,USER_29ec48ec92,😞JD {{URL}},Contenido no interpretable
Colombia,USER_29ec48ec92,😏😏😏 {{URL}},Contenido no interpretable
Colombia,USER_29ec48ec92,Futuro  👆🙏❤ {{URL}},Esperanza
Colombia,USER_29ec48ec92,Amooo las pendejaditas  😍 {{URL}},Gustos personales
Colombia,USER_29ec48ec92,Solo quiero que me beses y me digas si también tu sientes lo mismo.,Relaciones románticas
Colombia,USER_29ec48ec92,Tu eres un delito que yo quiero cometer. ⭐,Flirteo
Colombia,USER_29ec48ec92,Muchos bra y cuquiss nuevos jujujujuju amo los encajes  😈😏😏😏,Indumentaria íntima
Colombia,USER_29ec48ec92,Cuando alguien me dice que no le gustan nos perros. {{URL}},Mascotas
Colombia,USER_29ec48ec92,Felicidades idiota,Interacción informal
Colombia,USER_29ec48ec92,Como odio cundo me empiezan a doler los senos. 😵😫😫😫,Dolor físico
Colombia,USER_fed556ab74,24/7 {{URL}},Actividad constante
Colombia,USER_fed556ab74,Seguiré mencionando mis mejores momentos con vos.,Recuerdos
Colombia,USER_fed556ab74,Quién y qué te quita la monotonía diaría.,Rutina diaria
Colombia,USER_fed556ab74,Esos momentos de felicidad finita.,Felicidad
Colombia,USER_fed556ab74,Ser tan disperso me tiene la vida jodida.,Rasgos personales
Colombia,USER_fed556ab74,Voy a extrañarte - {{PERSON}}.,Nostalgia
Colombia,USER_fed556ab74,{{PERSON}} me decía que mi suerte iba a cambiar. (88'),Esperanza
Colombia,USER_fed556ab74,Ya da cagada sólo dar malas noticias a los papás.,Comunicación familiar
Colombia,USER_fed556ab74,Pero sólo cuando hay un motivo.,Justificación
Colombia,USER_fed556ab74,"Agh pana, que frustración, que autodecepción.",Emociones negativas
Colombia,USER_fed556ab74,La mayoría de cosas* {{URL}},Contenido no interpretable
Colombia,USER_fed556ab74,Relajado mijo que de pena nadie se muere.,Consejo
Colombia,USER_fed556ab74,Cómo destroza pedir ese tipo de favores.,Petición de favores
Colombia,USER_fed556ab74,"Uno no debe contar con nadie, así se debe vivir mejor.",Filosofía de vida
Colombia,USER_fed556ab74,Nunca puede faltar el mañanero.,Vida sexual
Colombia,USER_fed556ab74,Rompiendo el hielo -Apache.,Música
Colombia,USER_fed556ab74,Con un vinito soy feliz.,Disfrute personal
Colombia,USER_fed556ab74,{{LOCATION}} gun - {{PERSON}}.,Violencia
Colombia,USER_e3c20aa4be,{{LOCATION}}  estár  en un apocalipsis zombie para matar  a todos esos hps... 😈,Contenido no interpretable
Colombia,USER_e3c20aa4be,Y tu fumas de vez en cuando !!,Contenido no interpretable
Colombia,USER_e3c20aa4be,"De chamaquito yo, cambia ,enrolaba y me arebatava",Contenido no interpretable
Colombia,USER_e3c20aa4be,"Uno confunde el amor con el sexo , no entiendo porq te aterras !!",Contenido no interpretable
Colombia,USER_e3c20aa4be,"Cuando no tienes nada , ni sos pintoso, ni conosido, todos le hacen el feo al patito feo que nunca en bien recivido!!!..",Contenido no interpretable
