territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Euskera,USER_48a50a6085,"{{PERSON}}, llegará el día que veas la realidad y te arrepentirás de tus actos xd",Predicción de consecuencias,OTROS,Otros temas o contenido ambiguo
Euskera,USER_48a50a6085,El sentido de las indirectas a día de hoy? Porque yo no lo veo 😂😂😂,Reflexión sobre comunicación,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,"Holi, llevo un tiempo trabajando de manicurista y estas son algunas uñas que he hecho &lt;3
Agradecería difusión
Interesados DM :&gt; 
{{LOCATION}}, {{LOCATION}} {{URL}}",Negocio propio,ECO,"Economía, empleo y vivienda"
Euskera,USER_47eead28ae,Odio a los viejos huelen mal y dan asco,Comentario despectivo,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,Vivo enamorada de {{LOCATION}} quiero vivir ahí 😔,Aprecio por un lugar,TERR,"Territorio, identidad local y comunidad"
Euskera,USER_47eead28ae,Casi 8 años que mis papás no están juntos y echo de menos que estén los dos. Voy a llorar,Nostalgia familiar,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,Por qué julio es tan largo??? No se puede acabar y este mes de mierda ? Dios,Queja sobre el tiempo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Euskera,USER_47eead28ae,Necesito seguir leyendo berserk :(,Manga/anime,OCIO,"Cultura, ocio y entretenimiento"
Euskera,USER_47eead28ae,{{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Euskera,USER_47eead28ae,Definitivamente soy una morning person,Hábito personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Euskera,USER_47eead28ae,Solo hay dos cosas que me emocionan en el mundo 1 es {{PERSON}} y lo otro es berserk,Intereses personales,OCIO,"Cultura, ocio y entretenimiento"
Euskera,USER_47eead28ae,Vengo a recordar que quiero mucho a {{PERSON}} otra vez,Afecto hacia una persona,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,Tengo al mejor novio del mundo (indiscutible),Relación de pareja,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,Mi vida que precioso 💗,Expresión de admiración,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Euskera,USER_47eead28ae,Bro ahora mismo {{LOCATION}} es marrón,Observación del entorno,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Euskera,USER_47eead28ae,Siempre voy a estar aquí para ti 💗,Apoyo emocional,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,"{{PERSON}}, eres lo mejor del mundo &lt;3",Afecto hacia una persona,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,uwu momento {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Euskera,USER_47eead28ae,Me veo cada día los vídeos de tik tok que tengo contigo 💗💗,Recuerdos compartidos,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,Mi piedrita &lt;3,Expresión de cariño,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,No quiero ir a clase hoy,Queja sobre estudios,EDU,Educación y formación
Euskera,USER_47eead28ae,Mi novio me sigue queriendo aún sabiendo que soy fan no irónica de Vocaloid,Relación de pareja,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,Escuchar cantar a {{PERSON}} eufórico me da años de vida {{PERSON}}💗,Afecto hacia una persona,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_47eead28ae,Domingos de shingeki y {{PERSON}},Ocio y aficiones,OCIO,"Cultura, ocio y entretenimiento"
