territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Argentina,USER_33daf89b57,"""Las clasificaciones de los alimentos ultraprocesados incluyen muchos alimentos poco saludables, pero también abarcan productos que son nutricionalmente adecuados o incluso beneficiosos""

El ""ultraprocesamiento"" en sí mismo no es lo malo.

""La evidencia muestra que la densidad calórica, la textura, la fibra, el contenido de proteínas, el sodio y las grasas saturadas determinan la ingesta energética, el cambio de peso y los cambios en el perfil lipídico"", dijo, ""independientemente de si un alimento se clasifica como ultraprocesado o mínimamente procesado"".

{{URL}}",Alimentos ultraprocesados,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"La #psilocibina, el compuesto psicodélico natural producido por los hongos alucinógenos, ha captado la atención debido a la considerable evidencia clínica de su potencial terapéutico para tratar diversas afecciones psiquiátricas y neurodegenerativas. 
Sin embargo, los mecanismos moleculares subyacentes siguen siendo un enigma, y ​​pocos estudios han explorado sus efectos sistémicos. 

desde {{USER_MENTION}} 
de npj Aging volume 11, Article number: 55 ({{NUMBER}})
{{URL}}",Investigación farmacéutica,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"La FDA aprobó la linaclotida (Linzess, {{PERSON}}) para el tratamiento de la constipación en pacientes a partir de los 2 años de edad

desde {{USER_MENTION}}
{{URL}}",Aprobación medicamentos,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"#ebola
Los síntomas iniciales se clasifican como «secos» y incluyen fiebre alta, dolor de cabeza, cansancio extremo, dolores musculares y dolor de garganta.
A medida que la enfermedad progresa, se desarrollan los síntomas «húmedos», que pueden incluir vómitos, diarrea y dolor de estómago, erupción cutánea, hematomas, coloración amarillenta de la piel y los ojos, y sangrado en diferentes partes del cuerpo.

{{URL}}",Enfermedades infecciosas,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"El vapeo es una práctica relativamente nueva. 
Los expertos están descubriendo cada día más sobre la toxicidad y los riesgos para la salud. 

La investigación vincula las sustancias químicas presentes en el vapor de los cigarrillos con enfermedades.

Vaping vs. Smoking: Both Are Dangerousde {{USER_MENTION}}
{{URL}}",Vaping y salud,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"La #memoria a largo plazo es un espacio de almacenamiento casi permanente para la información y experiencias aprendidas. 
Puede contener recuerdos durante años. 
Los recuerdos pueden durar mucho tiempo, pero la capacidad para evocarlos o recuperarlos puede alterarse con la edad, ciertas condiciones o enfermedades.
de {{USER_MENTION}}",Memoria,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"#antibióticos
Durante décadas, el dogma cultural dictaba que los tratamientos largos eran siempre más seguros. Sin embargo, la evidencia científica actual demuestra de manera consistente que los tratamientos más breves son igual de eficaces y sustancialmente más seguros para evitar resistencias.

de {{USER_MENTION}} 
{{URL}}",Uso de antibióticos,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"{{PERSON}} or near-syncope is a not uncommon effect of gravitational or other stresses and it occurs when cerebral blood flow falls to below about half the normal value. It is not necessarily abnormal, and individuals who are usually asymptomatic show the same reaction if a stress is sufficiently great to result in hypotension. Blood pressure is regulated mainly by baroreceptor reflexes by their control of vascular resistance and heart rate. The ability to vasoconstrict powerfully is important in resisting syncope; heart rate responses are of much less physiological significance.

{{PERSON}}, {{PERSON}} of syncope. Clin Auton Res 14 (Suppl 1), i18–i24 ({{NUMBER}}).

{{URL}}",Síncope,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"Tradicionalmente se recomendaba esperar alrededor de dos horas después de comer para  bañarse para así evitar un “corte de digestión”. 
Este término se refiere a la interrupción del proceso digestivo y puede ocurrir tanto en el agua como fuera de ella, pero en realidad lo que debemos evitar es el choque térmico que tiene que ver con la circulación sanguínea y que se denomina correctamente síncope por {{PERSON}}. 
Para prevenirlo, se recomienda la aclimatación gradual a la temperatura del agua, mantener una hidratación adecuada, evitar comidas copiosas y la exposición excesiva al calor, así como prestar atención a cualquier señal de malestar, mareo o debilidad.

de {{USER_MENTION}} 
{{URL}}",Mitos de salud,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"Todos los niños y adolescentes deben recibir la vacuna para gripe cada año.

Pediatric Influenza Vaccination Efficacy
{{USER_MENTION}} 

{{URL}}",Vacunación infantil,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"La producción industrial de alimentos (ultraprocesamiento) altera la estructura natural de los alimentos, introduce ingredientes modificados y aditivos, y se ha planteado la hipótesis de que crea productos perjudiciales para la salud independientemente de su perfil nutricion.

Alimentos ultraprocesados y obesidad: Interpretando la evidencia
desde {{USER_MENTION}} de {{USER_MENTION}} 
Ultraprocessed foods and obesity: Interpreting the evidence

{{URL}}",Alimentos ultraprocesados,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_33daf89b57,"In this large study of children and adolescents based on data from routine clinical practice, {{PERSON}} adverse events. In aggregation with other robust observational studies, these results can inform the management of asthma and allergic rhinitis in this patient group.

de {{USER_MENTION}}
{{LOCATION}}
{{URL}}",Salud infantil,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_bc1f1d75c7,suerte,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_bc1f1d75c7,RT {{USER_MENTION}}: si te gusta este clima sos un hijo d re mil puta,Queja climática,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_bc1f1d75c7,lo malo de no tener papá pero si dos personas que cumplieron ese rol es que tengo que comprar dos regalos,Relaciones familiares,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_bc1f1d75c7,yo no tengo tatuado memento mori al pedo,Filosofía de vida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_bc1f1d75c7,RT {{USER_MENTION}}: porfa {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_bc1f1d75c7,RT {{USER_MENTION}}: siempre me las mando si alguien sabe de algun varon que se aguante todas mis maldades me avisan {{URL}},Relaciones personales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_bc1f1d75c7,que la sangre siga corriendo,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_bc1f1d75c7,"RT {{USER_MENTION}}: Perdóname mi amor, no puedo estar sin tí, eres como un vicio para mí",Relaciones de pareja,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_bc1f1d75c7,nosotros nos debemos un fernet,Planes sociales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_bc1f1d75c7,RT {{USER_MENTION}}: que nadie me pregunte cuantos cafés con leche me tomo por día,Hábitos diarios,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_bc1f1d75c7,mi hermano me rompe el cora,Relaciones familiares,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_bc1f1d75c7,"{{PERSON}} ya fue verano, me cansé de marearme cuando me levanto",Queja climática,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_bc1f1d75c7,como me estresa el tren de {{LOCATION}} hasta {{LOCATION}},Transporte,MOV,"Movilidad, transporte y espacio urbano"
Argentina,USER_bc1f1d75c7,"{{LOCATION}}, si ves esto, y si dejo la facultad y me mantenes?",Estudios y economía,ECO,"Economía, empleo y vivienda"
Argentina,USER_bc1f1d75c7,{{LOCATION}} y volvió a salir mal,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_bc1f1d75c7,"si pudiera te daría todo lo que tengo, porque no tengo más que a vos",Relaciones de pareja,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_bc1f1d75c7,"vi en ig una remera rota que estaba buena y entre pensando que iba a estar 200p, cuando me fijo estaba a NOVECIENTOS PESOS deja, me pongo a cortar yo la ropa",Compras de ropa,CONSUMO,"Consumo, tecnología y compras"
Argentina,USER_bc1f1d75c7,"como odio pensar tanto las cosas, y más a esta hora",Frustración personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_bc1f1d75c7,"estoy acostumbrada a soñar cosas sin sentido, pero soñar que le pongo a lavar la ropa al chabon que me gusta me parece demasiado",Sueños,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_bc1f1d75c7,"que onda la gente que no discute y te da la razón para volver a hablar normal? dale forro, ya sé que tengo razón pero pelea",Dinámicas sociales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_bc1f1d75c7,"me empecé a hablar con un flaco, y me contó que se mudó a otra provincia por la novia, dejando todo y a los 3 meses la encontró cojiendose a otro. 
Después me preguntan porque soy tan insegura y fría",Decepción amorosa,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c693e04717,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_c693e04717,RT {{USER_MENTION}}: No te sueltes de {{PERSON}}. 🙏❤️ {{URL}},Apoyo emocional,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c693e04717,{{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_c693e04717,"RT {{USER_MENTION}}: {{LOCATION}} 6,19-23. {{LOCATION}} real. #EvangelioDelDía 
{{URL}} {{URL}}",Religión,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_c693e04717,{{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_c693e04717,Dos días no ha parado de llover,Clima,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_c693e04717,"El principio del cambio es recocer, autopercibirse honestamente sin juzgarte, desde el amor!",Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c693e04717,"Fix you! 
Mañana es hoy!",Motivación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c693e04717,"Hijo mio, no te olvides de mis enseñanzas; más bien, guarda en tu corazón mis mandamientos. Porque prolongarán tu vida muchos años y te traerán prosperidad. {{URL}}",Consejos religiosos,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_c693e04717,"RT {{USER_MENTION}}: Que tu reino sea establecido en nuestrs vidas.
#ElADNdeDios {{URL}}",Religión,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,"{{PERSON}}, en victoria y de gloria en gloria gracias a la Sangre Santa derramada, gracias al cordero de {{PERSON}}, {{PERSON}} el sacrificio perfecto!
Quieren entender que pasa..?
{{PERSON}} 34 enterito!!
Dios es un Dios de amor, misericordia.
Poder y dominio propió, {{PERSON}}. {{URL}}",Alabanza religiosa,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,"Bendecido día y en {{LOCATION}} gracias a {{PERSON}}!!
Una cosa he demandado a {{LOCATION}}, ésta buscaré; Que esté yo en la casa de {{LOCATION}} todos los días de mi vida, Para contemplar la hermosura de {{LOCATION}}, y para inquirir en su templo.” Salmos 27:4 {{URL}}",Devoción religiosa,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,"{{PERSON}} de mi vida yo te amo
{{PERSON}} de mi vida eres todo lo que quiero ❤️
Cuan grande eres Dios
Cantaré cuan grande eres Dios 🙌 
Y todos lo verán 🎶 
Cuan grande eres Dios.
Hermoso eres 💛
{{PERSON}}, hermoso eres tu 💚
Amado mio 🎶 {{URL}}",Canto religioso,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,"Mi ❤️ duele de amor duele de amor y late tan fuerte por ti mi {{PERSON}}  🎶 
El Jueves 17hs aprox camino a {{LOCATION}} uno, gracias {{PERSON}} por hablarme en todo tiempo Santoo! {{URL}}",Expresión de fe,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,"Dios guardará en completa paz a quién cuyos pensamientos en Él perceveran!

 Jesús Te Ama!!   Juan 3:16

El solo quiere tu ❤️ {{PERSON}} es {{PERSON}}!!
El resto lo hace el Espíritu Santo!

Muchos son los llamados, pocos los escogidos!! {{URL}}",Mensaje cristiano,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,{{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_c693e04717,"Te amo mi Señor
Se acaban las palabras
Solo queda mi alma
 para cantarte 🎶 {{URL}}",Adoración religiosa,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,{{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_c693e04717,"{{PERSON}}, en {{LOCATION}} y de Gloria en Gloria en el {{LOCATION}} de {{LOCATION}} de los ejércitos!

{{PERSON}} de justicia se vistió como de una coraza, con yelmo de salvación en su cabeza; tomó ropas de venganza por vestidura, y se cubrió de celo como de manto {{URL}}",Pasaje bíblico,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c693e04717,"Salmos 10:2-4  RV {{NUMBER}}
Con arrogancia el malo persigue al pobre;
Será atrapado en los artificios que ha ideado.
Porque el malo se jacta del deseo de su alma,
Bendice al codicioso, y desprecia a {{LOCATION}}. {{URL}}",Cita bíblica,OTROS,Otros temas o contenido ambiguo
Argentina,USER_f3572aa6de,Que asco cuando tienen novia y siguen minas🤢,Crítica de relaciones,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,Las vibras no mienten nunca,Intuición y energía,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,"Por primera vez en mucho tiempo siento que todo está bien, que paz estoy manejando. 🤍",Bienestar personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,Que linda es la vida con mi gordito! No cambio esto por nada 🥹,Amor de pareja,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,Todo lo que no suma lejitossssss💆🏼‍♀️,Auto-cuidado y límites,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,Amar es ser leal. Siempre,Reflexión sobre el amor,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,Apostando siempre a los nuevos comienzos ❤️‍🩹,Nuevos comienzos,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,Cuanta gente que si ❤️‍🩹,Valoración social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,{{PERSON}} a donde tan yo,Identificación personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,Mi yo del {{NUMBER}} actuaria completamente distinto a mi yo de ahora en esta situación. Orgullosa de no ser la misma ✨,Crecimiento personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,Siempre confiando en las señales. 🤞🏻✨,Confianza en el destino,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,"Lo que das vuelve, no hay que olvidarse nunca de eso.",Karma y reciprocidad,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,Se pasan de buitres q ascoooooo dios,Crítica social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,Esta bien un poquito de caos para volver a ordenar las cosas 🤎,Superación de problemas,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,"Gracias a la vida por regalarme personas tan lindas, todo esta bien al fin ✨❤️‍🩹",Gratitud y bienestar,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_f3572aa6de,{{PERSON}} galgos,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_f3572aa6de,Es tan lindo sentirse cuidada ❤️‍🩹,Sentimiento de protección,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,Cada vez estoy aguantando menos gente🫠,Intolerancia social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,No puede ser que cuando me compro algo para mi me duela tanto gastar pero cuando le compro a mi novio todo es baratoooo🫠,Relaciones y finanzas,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,Que cosa más hermosa despertar todos los días con la misma persona. 💛,Amor de pareja,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,Qué importante es ser leal en cualquier tipo de relación,Reflexión sobre la lealtad,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_f3572aa6de,Un día prometimos que sería para siempre,Recuerdo romántico,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_5494cfaf4f,yo ya sabia q no era d este mundo,Autorreflexión,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_5494cfaf4f,"RT {{USER_MENTION}}: Ver un hat-trick de {{PERSON}}, toda una experiencia.",Deportes,DEP,Deporte y competición
Argentina,USER_5494cfaf4f,q gracioso ayer 🤣,Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_5494cfaf4f,todo ira mejorr,Optimismo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_5494cfaf4f,la vida va a seguir sorprendiendome,Filosofía de vida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_5494cfaf4f,😆,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_5494cfaf4f,corte q se re tiro al helado altoque paraa banca 1 semana algo,Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_5494cfaf4f,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_5494cfaf4f,no chingo hace mil años,Vida sexual,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_5494cfaf4f,se tiran al piso solossss buendiaaa 😆,Observación cotidiana,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_5494cfaf4f,{{PERSON}} le jodan a esa paz si la tengo a ella,Relaciones personales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_5494cfaf4f,mi abuela me dijo me bañe y quede quinceañera AJAJJSJAJAJAJQ,Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_5494cfaf4f,igual no compro si soy el mejor,Autoafirmación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_5494cfaf4f,"ultimamente me siento muy cómodo, todo lo q se queda, lo valoro y lo q se va es {{PERSON}} se tenia q vayar",Reflexión sobre relaciones,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_5494cfaf4f,asi mismo,Comentario general,OTROS,Otros temas o contenido ambiguo
Argentina,USER_5494cfaf4f,{{PERSON}} con mi hermano,Familia,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_5494cfaf4f,parece una bandida pero sufre por amor por eso sale en la noche y vuelve cuando sale el sol,Amor y desamor,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_5494cfaf4f,"ni poniendola abajo del agua, se rescata",Situación difícil,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_5494cfaf4f,como me gusta perder tiempo con gente q no vale la pena,Crítica social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_5494cfaf4f,cuando estoy realmente solo y perdido es cuando me encuentro,Autorreflexión,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_5494cfaf4f,tengo q alejarme de la gente mentirosA,Resolución personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_5494cfaf4f,como haces pa perder a alguien como yo,Autoafirmación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,Es hora de actualizar la historia con capturas🤣🤣🤣🤣🤣🤣,Drama personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,RT {{USER_MENTION}}: NO ME PIDAN QUE  NO ME EMOCIONE ESTE TIPO ESTA RE LOCO Y ES NUESTRO ES ARGENTINO TE {{LOCATION}} {{PERSON}},Fútbol y orgullo nacional,DEP,Deporte y competición
Argentina,USER_a593056479,"RT {{USER_MENTION}}: No tengo palabras.

Este tipo me hace muy feliz. {{URL}}",Fútbol y admiración,DEP,Deporte y competición
Argentina,USER_a593056479,"RT {{USER_MENTION}}: 🇦🇷🐐 ¡ESTÁS LOCO, LIONEL! {{URL}}",Fútbol y admiración,DEP,Deporte y competición
Argentina,USER_a593056479,La gestión fotos 🤣,Vida cotidiana,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,Ya no estoy para retener a nadie. Te querés ir? Chau,Relaciones personales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_a593056479,Pero después yo soy la que no supera.🤌🏻🤦🏻‍♀️ {{URL}},Drama personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,"""Estado presente"" dicen... 🤌🏻",Crítica social/política,POL,"Política, instituciones y actualidad pública"
Argentina,USER_a593056479,"{{LOCATION}} cómo te voy a hackear las cuentas si tenías como contraseñas el número de DNI. 🤌🏻🤌🏻🤌🏻🤌🏻
No conectas dos neuronas.🤣🤣",Crítica personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,Yo soy la mala? Y en mí quién pensó cuando me estaban cagando?,Drama personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,Esa maldita costumbre que tienen los hombres de tratar de loca a la ex. Son de manual.,Comentario social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_a593056479,Qué se sabe del {{PERSON}} de tres {{LOCATION}} 🤣🤣🤣🤣 No perdonó a nadie. {{PERSON}},Gossip/humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_a593056479,"EL verdadero ""LA QUE SE LO QUEDA PIERDE"".🫣🤣🤣",Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_a593056479,Mirá si me vas a venir a intimidar con la mirada. JUSTAMENTE A MÍ.🤌🏻🤌🏻🤌🏻🤣,Autoafirmación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,🤣 {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_a593056479,Soy🤣🤣🤣,Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_a593056479,Me quedo en paz porque lo mío fue sincero...,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,🏆❤️‍🔥❤️‍🔥❤️‍🔥 #LionelMessi𓃵 {{URL}},Fútbol y admiración,DEP,Deporte y competición
Argentina,USER_a593056479,{{LOCATION}} mostrando al mundo cómo se juega al fútbol.❤️‍🔥,Fútbol y orgullo nacional,DEP,Deporte y competición
Argentina,USER_a593056479,"El que busca encuentra, simple.",Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_a593056479,"Hasta el año pasado era una ""vaga"" y hoy es una ""luchadora y trabajadora"". Me parece que tengo que sacar unas capturas del archivo para refrescar la memoria de éste payaso 😂😂😂😂",Exposición/venganza,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_a593056479,"Ahora quieren saber de {{PERSON}}, por FAVOR DÉJENSE DE HIPOCRESÍA. Cuando lo tenían al lado ni siquiera se acercaron a saludarlo y así miles de cosas que no me alcanzarían los caracteres para nombrar. Gracias a Dios lo que me sobra es memoria. {{LOCATION}} de romper la pija.",Crítica social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,Mi mamá me mando un audio diciendo “que bueno que vas a ver a {{PERSON}} Sweet” JAJAJAJAJ te amo ma,Interacción familiar,REL,"Relaciones personales, afectivas y vida social"
