microtema,frecuencia,porcentaje
Desafío/burla,1,0.13
Afirmación personal,1,0.13
Reflexión existencial,1,0.13
Deseo de beber,1,0.13
Cambio de actitud,1,0.13
Desilusión social,1,0.13
Personalidad lúdica,1,0.13
Bloqueo,1,0.13
Agresión verbal,1,0.13
Alegría,1,0.13
Conflicto familiar,1,0.13
Noticias familiares,1,0.13
Manejo del dolor,1,0.13
Reflexión sobre relación pasada,1,0.13
Apreciación de la naturaleza,1,0.13
Experiencia personal,1,0.13
Relaciones y expectativas,1,0.13
Apreciación de la soltería,1,0.13
Opinión social,1,0.13
Insatisfacción con el lugar,1,0.13
Duelo por familiar,1,0.13
Llegada a evento social,1,0.13
Deseo de compras,1,0.13
Auto superación,1,0.13
Vida independiente,1,0.13
Compra de entradas,1,0.13
Exposición/venganza,1,0.13
Gossip/humor,1,0.13
Crítica social/política,1,0.13
Resolución personal,1,0.13
Situación difícil,1,0.13
Confrontación,1,0.13
Desgano,1,0.13
Pereza,1,0.13
Deseo íntimo,1,0.13
Apariencia personal,1,0.13
Flirteo,1,0.13
Interacción online positiva,1,0.13
Anhelo,1,0.13
Orgullo nacional,1,0.13
Mate y ocio,1,0.13
Disfrute,1,0.13
Relaciones sociales,1,0.13
Comentario sobre terceros,1,0.13
Problemas de pareja,1,0.13
Sentimiento personal,1,0.13
Petición,1,0.13
Elogio a tercero,1,0.13
Búsqueda de felicidad,1,0.13
Búsqueda de consuelo,1,0.13
Eventos y logros personales,1,0.13
Consulta profesional,1,0.13
Dilemas de comunicación,1,0.13
Trabajo y finanzas,1,0.13
Planes de compra,1,0.13
Noticia positiva,1,0.13
Rutina personal,1,0.13
Decepción,1,0.13
Valoración de la amistad,1,0.13
Consejo de relaciones,1,0.13
Deseo de socializar,1,0.13
Bienestar emocional,1,0.13
Deseos de relación,1,0.13
Cultura popular,1,0.13
Deseo de intimidad,1,0.13
Atracción emocional,1,0.13
Ocultamiento emocional,1,0.13
Deseo de viaje,1,0.13
Deseo de viaje romántico,1,0.13
Expectativas románticas,1,0.13
Insomnio,1,0.13
Antojo de comida,1,0.13
Reflexión de vida,1,0.13
Experiencia positiva,1,0.13
Amor y desamor,1,0.13
Familia,1,0.13
Comentario general,1,0.13
Observación cotidiana,1,0.13
Vida sexual,1,0.13
Optimismo,1,0.13
Recuerdo romántico,1,0.13
Reflexión sobre la lealtad,1,0.13
Relaciones y finanzas,1,0.13
Intolerancia social,1,0.13
Sentimiento de protección,1,0.13
Pesimismo social,1,0.13
Apreciación del entorno,1,0.13
Comentario sobre evento,1,0.13
Clima / entorno,1,0.13
Auto-aceptación,1,0.13
Cansancio / estrés,1,0.13
Estado de ánimo positivo,1,0.13
Transmisión en vivo,1,0.13
Reflexión sobre cambio,1,0.13
Anécdota social,1,0.13
Encuentro personal,1,0.13
Crítica a la superioridad,1,0.13
Reflexión interpersonal,1,0.13
Motivación personal,1,0.13
Necesidad de afecto,1,0.13
Consejo de vida,1,0.13
Reflexión sobre autoestima,1,0.13
Felicidad por logro,1,0.13
Desamor y superación,1,0.13
Nostalgia y viajes,1,0.13
Relaciones pasadas,1,0.13
Humor cotidiano,1,0.13
Música y afecto,1,0.13
Romance y afecto,1,0.13
Decepción interpersonal,1,0.13
Deseo / hobby,1,0.13
Valores tradicionales,1,0.13
Problemas técnicos / streaming,1,0.13
Observación ambiental,1,0.13
Expectativa de futuro,1,0.13
Optimismo / logros,1,0.13
Humor sobre apariencia,1,0.13
Anticipación social,1,0.13
Crítica / opinión,1,0.13
Cocina para pareja,1,0.13
Elogio romántico,1,0.13
Intención de matrimonio,1,0.13
Disfrute doméstico,1,0.13
Alegría por posesión,1,0.13
Celebración de cumpleaños,1,0.13
Interacción sobre autos,1,0.13
Duda personal,1,0.13
Esperanza y optimismo,1,0.13
Sentimientos de pareja,1,0.13
Humor y astrología,1,0.13
Humor y auto-percepción,1,0.13
Confusión interpersonal,1,0.13
Compañerismo y ocio,1,0.13
Añoranza,1,0.13
Afecto y añoranza,1,0.13
Ocio nocturno,1,0.13
Queja sentimental,1,0.13
Conflictos familiares,1,0.13
Gustos personales,1,0.13
Planes de ocio,1,0.13
Pasión,1,0.13
Falta de motivación,1,0.13
Entretenimiento,1,0.13
Queja económica,1,0.13
Actividad de pareja,1,0.13
Deseo lúdico,1,0.13
Actitud positiva hacia el trabajo,1,0.13
Orgullo familiar y autos,1,0.13
Amor y aprecio de pareja,1,0.13
Frustración por críticas,1,0.13
Elogio de pareja,1,0.13
Deseo de reconciliación,1,0.13
Incertidumbre romántica,1,0.13
Contraste emocional,1,0.13
Decisión personal,1,0.13
Gastronomía rural,1,0.13
Arrepentimiento sobre el tiempo,1,0.13
Aprecio personal,1,0.13
Celebración de año nuevo,1,0.13
Elogio,1,0.13
Viaje/desplazamiento,1,0.13
Humor irónico,1,0.13
Pensamientos complejos,1,0.13
Comida casera,1,0.13
Amistad y ocio,1,0.13
Dilema social,1,0.13
Dificultad económica,1,0.13
Afirmación de límites,1,0.13
Actividad cotidiana,1,0.13
Elogio a la pareja,1,0.13
Gratitud y bienestar,1,0.13
Superación de problemas,1,0.13
Karma y reciprocidad,1,0.13
Confianza en el destino,1,0.13
Crecimiento personal,1,0.13
Identificación personal,1,0.13
Valoración social,1,0.13
Nuevos comienzos,1,0.13
Auto-cuidado y límites,1,0.13
Intuición y energía,1,0.13
Crítica de relaciones,1,0.13
Cita bíblica,1,0.13
Interacción personal,1,0.13
Crítica cultural,1,0.13
Anécdota social/humor,1,0.13
Opinión/asentimiento,1,0.13
Religión/fe,1,0.13
Interacción personal/afecto,1,0.13
Riesgo en el amor,1,0.13
Confianza en pareja,1,0.13
Cambio de hábitos,1,0.13
Reflexión general,1,0.13
Deseo personal,1,0.13
Consejo familiar,1,0.13
Sacrificio en relación,1,0.13
Cuestionamiento personal,1,0.13
Desilusión,1,0.13
Preocupación,1,0.13
Frustración comunicativa,1,0.13
Afecto personal,1,0.13
Evento familiar,1,0.13
Deseo de escape,1,0.13
Deseo de tranquilidad,1,0.13
Frustración emocional,1,0.13
Resignación,1,0.13
Búsqueda de soledad,1,0.13
Anécdota personal/reacción social,1,0.13
Insulto/comentario vulgar,1,0.13
Apariencia física/comentario,1,0.13
Crítica social/estudios,1,0.13
Recomendación/opinión,1,0.13
Romance/atracción,1,0.13
Experiencia personal/semana difícil,1,0.13
Humor familiar,1,0.13
Humor autocrítico/amistad,1,0.13
Esfuerzo en relación,1,0.13
Motivación/lucha personal,1,0.13
Superación/deseo de olvidar,1,0.13
Frustración/queja,1,0.13
Hábitos personales,1,0.13
Alimentación,1,0.13
Estudios y contratiempos,1,0.13
Gimnasio y vida social,1,0.13
Gimnasio y cuidado personal,1,0.13
Trabajo y mascotas,1,0.13
Frustración diaria,1,0.13
Anticipación de despedida,1,0.13
Crítica de acciones,1,0.13
Deseo sobre el clima,1,0.13
Queja sobre la mala suerte,1,0.13
Reflexión sobre el tiempo,1,0.13
Percepción del tiempo,1,0.13
Esperanza,1,0.13
Sentimientos encontrados,1,0.13
Queja,1,0.13
Hogar y pareja,1,0.13
Renuncia laboral,1,0.13
Comida,1,0.13
Indulgencia,1,0.13
Compras,1,0.13
Amor/afecto personal,1,0.13
Humor/coqueteo,1,0.13
Deseo de cercanía,1,0.13
Reflexión sobre orgullo,1,0.13
Conexión personal,1,0.13
Compromiso amoroso,1,0.13
Lamento sobre el pasado,1,0.13
Entretenimiento/videos,1,0.13
Ruptura y dolor ajeno,1,0.13
Reflexión filosófica,1,0.13
Consejos de relaciones,1,0.13
Anhelo romántico/afecto,1,0.13
Deseo de permanencia en el amor,1,0.13
Ritmo de superación amorosa/relaciones,1,0.13
Deseo de venganza/frustración,1,0.13
Ruptura/superación,1,0.13
Apego en relaciones,1,0.13
Reflexión sobre la naturaleza humana,1,0.13
Música k-pop,1,0.13
Amor incondicional/relaciones,1,0.13
Desamor/relaciones pasadas,1,0.13
Tecnología,1,0.13
Trabajo,1,0.13
Aprecio en relaciones,1,0.13
Pasaje bíblico,1,0.13
Adoración religiosa,1,0.13
Mensaje cristiano,1,0.13
Expresión de fe,1,0.13
Canto religioso,1,0.13
Devoción religiosa,1,0.13
Alabanza religiosa,1,0.13
Consejos religiosos,1,0.13
Apoyo emocional,1,0.13
Decepción amorosa,1,0.13
Dinámicas sociales,1,0.13
Sueños,1,0.13
Seducción/deseo,1,0.13
Deseo de pareja,1,0.13
Percepción de belleza/inseguridad,1,0.13
Fiesta/evento social,1,0.13
Mensaje personal,1,0.13
Consejos de vida,1,0.13
Pesimismo,1,0.13
Reflexión sobre felicidad,1,0.13
Psicología,1,0.13
Inconformidad personal,1,0.13
Malestar personal,1,0.13
Opinión personal,1,0.13
Desilusión personal,1,0.13
Comunicación no verbal,1,0.13
Reflexión sobre el sufrimiento,1,0.13
Reflexión sobre decepciones,1,0.13
Impacto de relaciones,1,0.13
Dolor emocional,1,0.13
Deseo romántico,1,0.13
Consumo de alcohol/fiesta,1,0.13
Observación social/fiesta,1,0.13
Problema de comunicación/relación,1,0.13
Reflexión sobre el año,1,0.13
Humor sexual/observación social,1,0.13
Amor no correspondido,1,0.13
Celebración de victoria,1,0.13
Consumo de alcohol,1,0.13
Reflexión sobre la pérdida,1,0.13
Observación personal,1,0.13
Anécdota familiar/queja,1,0.13
Anécdota familiar/humor,1,0.13
Planes de transporte,1,0.13
Invitación social,1,0.13
Queja/desahogo,1,0.13
Conflicto interpersonal,1,0.13
Sentimiento de pena,1,0.13
Bienestar físico,1,0.13
Crianza/familia,1,0.13
Conflicto,1,0.13
Ocio y vida nocturna,1,0.13
Celebración personal,1,0.13
Comida y bebida,1,0.13
Afecto,1,0.13
Felicidad personal,1,0.13
Ocio y entretenimiento,1,0.13
Lamento personal,1,0.13
Compras/consumo,1,0.13
Desahogo personal,1,0.13
Coqueteo/humor,1,0.13
Humor/alimentación,1,0.13
Deportes (fútbol),1,0.13
Pregunta personal,1,0.13
Compras de ropa,1,0.13
Estudios y economía,1,0.13
Transporte,1,0.13
Hábitos diarios,1,0.13
Salud infantil,1,0.13
Vacunación infantil,1,0.13
Mitos de salud,1,0.13
Síncope,1,0.13
Rutina diaria,1,0.13
Queja sobre redes sociales,1,0.13
Humor/videojuegos,1,0.13
Naturaleza,1,0.13
Bienes personales,1,0.13
Seguridad personal,1,0.13
Rutina/sueño,1,0.13
Comentario de vestimenta,1,0.13
Compartir contenido,1,0.13
Comentario sobre lugar,1,0.13
Felicitación de cumpleaños,1,0.13
Preocupación personal,1,0.13
Ocio/fin de semana,1,0.13
Estrés extremo,1,0.13
Sentimiento de tristeza,1,0.13
Mascotas,1,0.13
Astrología,1,0.13
Chismorreo online,1,0.13
Cuidado personal,1,0.13
Reflexión sobre el lenguaje,1,0.13
Votación,1,0.13
Política,1,0.13
Recuerdo triste,1,0.13
Aprobación medicamentos,1,0.13
Salud de familiar,1,0.13
Sorpresa de cumpleaños,1,0.13
Progreso académico,1,0.13
Crítica de influencia negativa,1,0.13
Interacción lúdica,1,0.13
Apego a un lugar,1,0.13
Reflexión sobre amistades,1,0.13
Indecisión,1,0.13
Noticias y humor,1,0.13
Queja sobre contenido multimedia,1,0.13
Metas personales,1,0.13
Expresión de frustración,1,0.13
Anecdota de relación,1,0.13
Vida familiar,1,0.13
Noticias y sucesos,1,0.13
Progreso personal gradual,1,0.13
Duelo por tío fallecido,1,0.13
Dedicación y éxito en emprendimiento,1,0.13
Incomprensión social de dificultades,1,0.13
Adquisición para emprendimiento,1,0.13
Logro material por emprendimiento,1,0.13
Frustración por limitaciones personales,1,0.13
Duelo y ausencia familiar,1,0.13
Nostalgia por padre,1,0.13
Mensaje de apoyo y resiliencia,1,0.13
Anuncio familiar feliz,1,0.13
Homenaje a padre fallecido,1,0.13
Empoderamiento personal,1,0.13
Uso de antibióticos,1,0.13
Memoria,1,0.13
Vaping y salud,1,0.13
