territorio,usuario,tweet,microtema
México,USER_d3ae0fca2b,"La gente que cree que la CDMX ahorita está vacía porque los del edomex están de vacaciones están mal de su cabeza, al contrario, los del edomex andan trabajando y los de la CDMX están de vacaciones.",Observación social
México,USER_d3ae0fca2b,"Definitivamente ""Love to be loved"" de the Warning fue toda una sorpresa, {{PERSON}} cantando en inglés y obvio las chicas haciendo lo de siempre, brillar.",Música
México,USER_d3ae0fca2b,{{PERSON}} quiero una de esas😱,Contenido no interpretable
México,USER_d3ae0fca2b,"{{PERSON}} tarde la funa, pero al final salió la verdad a la luz. Ni modo, otro cubetazo de agua fría para recordar que la banda favorita de muchos nunca volverá.",Fandom y controversia
México,USER_d3ae0fca2b,Yo.,Contenido no interpretable
México,USER_d3ae0fca2b,{{PERSON}},Contenido no interpretable
México,USER_d3ae0fca2b,Jajaja apenas escuché eso. 😂😂😂😂,Humor
México,USER_d3ae0fca2b,Hasta yo siento la incomodidad del romanceo de Momo y Okarun.🥰,Ficción (romance)
México,USER_d3ae0fca2b,"Ya me enamoré de la {{LOCATION}}, pinche servicio más vergas que en cualquier recinto que maneja el podrido Ticketmaster.👌",Opinión de servicio
México,USER_d3ae0fca2b,"Yo, con {{USER_MENTION}} .🥲",Contenido no interpretable
México,USER_d3ae0fca2b,"Yo, toda la semana. 🗣️🗣️🗣️",Contenido no interpretable
México,USER_d3ae0fca2b,"Yo, ese.",Contenido no interpretable
México,USER_d3ae0fca2b,{{PERSON}},Contenido no interpretable
México,USER_d3ae0fca2b,"¿Te acabas de gastar tu quincena en tenis? 
-Te acabas de gastar tu quincena en tenis...",Finanzas personales (compras)
México,USER_d3ae0fca2b,"{{LOCATION}}, ya casi es el concierto de Enjambre y no ha sacado su nuevo disco.🥲",Música (conciertos)
México,USER_d3ae0fca2b,"Estoy pre produciendo las siguientes canciones del nuevo disco, y no mames, ya tengo mi favorita del disco.🤯🥵",Producción musical
México,USER_d3ae0fca2b,"Olviden todo lo que dije hace días, hoy me siento en mi prime.🔥👌",Estado de ánimo positivo
México,USER_d3ae0fca2b,"Indignación total, que horrible que estás cosas pasen en {{LOCATION}}, el lugar donde la música es más que una pasión. 😔",Reclamación social
México,USER_d3ae0fca2b,Que bonito se siente llegar a la oficina sin haber sudado ni sufrido con la gente en el transporte público.😭👌 {{URL}},Experiencia laboral (transporte)
México,USER_d3ae0fca2b,Hoy regresamos a la natación 💪 e impusimos nuestro poderío en la alberca.😈,Deportes (natación)
México,USER_de6cf6f2c5,RT {{USER_MENTION}}: Háblame cabrón!!!!!,Interacción desafiante
México,USER_de6cf6f2c5,"tiktok me pone a llorar y a los 5 mins me ando cagando de risa 
parezco loquita",Humor
México,USER_de6cf6f2c5,y parece que este día no termina,Cansancio/tedio
México,USER_de6cf6f2c5,que risa este wey ya pls,Humor
México,USER_de6cf6f2c5,i don’t speak dog hoe i don’t care what no bitch say,Confrontación/desafío
México,USER_de6cf6f2c5,todavía no vamos ni a la mitad del mundial y ya lo extraño :(,Deportes
México,USER_de6cf6f2c5,dirás que no me quisiste pero vas a estar muy triste y así te vas a quedar,Relaciones interpersonales
México,USER_de6cf6f2c5,"i love you baby, i promise",Afecto
México,USER_de6cf6f2c5,por mi bienestar mental bloquearé a {{LOCATION}} {{PERSON}},Evitar interacción negativa
México,USER_de6cf6f2c5,"what a shame you’re not here 
here to witness my devotion",Nostalgia/anhelo
México,USER_de6cf6f2c5,{{PERSON}},Contenido no interpretable
México,USER_de6cf6f2c5,la neta si yo no fuera mexa también estaría sacando espuma del coraje y envidia de entiende,Orgullo nacional
México,USER_de6cf6f2c5,"RT {{USER_MENTION}}: El Mundial ha sacado lo PEOR de mucha gente de {{LOCATION}}, increíble la cantidad de publicaciones contra {{LOCATION}} y lo que más…",Deportes
México,USER_de6cf6f2c5,para que la juegas si te gustan malandros,Crítica de relaciones
México,USER_de6cf6f2c5,{{PERSON}} el hombre que eres!!!!!!!,Admiración
México,USER_de6cf6f2c5,RT {{USER_MENTION}}: {{LOCATION}} hermano ya eres {{LOCATION}}...❤️❤️ {{URL}},Orgullo nacional
México,USER_de6cf6f2c5,"RT {{USER_MENTION}}: Me encanta que los otros países se ofendan tanto porque los mexicanos celebramos. 
{{PERSON}} y chingan que son mejores en el fu…",Orgullo nacional
México,USER_de6cf6f2c5,{{PERSON}} en todas mis vidas quiero ser mexicana te lo ruego,Orgullo nacional
México,USER_de6cf6f2c5,"RT {{USER_MENTION}}: FIFA World Cup…
{{LOCATION}} 🇲🇽 💚 {{URL}}",Deportes
México,USER_de6cf6f2c5,{{PERSON}} {{URL}},Contenido no interpretable
México,USER_de6cf6f2c5,HOY GANA MÉXICO PUTA MADRE!!!!!,Deportes
México,USER_de6cf6f2c5,no debí no debiiiiiii chupar ayer,Arrepentimiento
México,USER_84792f5a6b,se sintió horrible el temblor,Fenómeno natural
México,USER_84792f5a6b,{{PERSON}} siempre salvando el día. 🥹🥹🧡 tq {{PERSON}}thelifeofashowgirl {{URL}},Apreciación personal
México,USER_84792f5a6b,oye {{USER_MENTION}} no se la fila de {{PERSON}} se reanudaba 1:20 pm {{URL}},Consulta de evento
México,USER_84792f5a6b,{{PERSON}} que susto alv  #Temblor,Fenómeno natural
México,USER_84792f5a6b,necesito el mapa de jonas brothers para ver de qué precio voy a comprasaar! AIUUUUDAASS!,Conciertos y entradas
México,USER_84792f5a6b,el mejor disfraz por mucho 🤩🤩,Entretenimiento general
México,USER_84792f5a6b,"está semana fue horrible, creo que ya es justo una lloradita.",Desahogo personal
México,USER_84792f5a6b,para que me bloqueo si todo el tiempo va a estar viendo mis storys y fotos de instagram (aunque no me sigue) 🫠 {{URL}},Interacción en redes sociales
México,USER_84792f5a6b,"WEY COMO QUE DEPUES DE TODO EL DINERO QUE GASTE PARA FRIENDSHIP BRAZALETES, LOS BOLETOS, TENGO QUE COMPRAR UNA BOLSA TRANSPARENTE PARA QUE ME DEJEN PASAR???. {{PERSON}}🤡",Queja sobre evento
México,USER_84792f5a6b,"oye {{USER_MENTION}} sácame de la lista de espera yo si quiero pagar el paquete VIP de la Blondie, pero saaaaacameeeeeeee! 😭",Compra de entradas
México,USER_84792f5a6b,"sigo sin creer lo de {{LOCATION}}, me aguante mucho las ganas de llorar cuando me entere pero ver cada post, tiktok de él me pone bien mal. 😭",Tristeza por evento
México,USER_84792f5a6b,"se está mamando la lluvia, ojalá los deje ver a {{PERSON}} 🥹",Clima y eventos
México,USER_84792f5a6b,"todo el playlist de #{{PERSON}} está siendo demasiado para mi alma, ya que confirme {{LOCATION}} lo necesito YAAAAA",Conciertos y música
México,USER_84792f5a6b,Alguien que tenga el hilo de {{PERSON}} bieber y {{PERSON}} es para una tarea,Celebridades y chismes
México,USER_84792f5a6b,Para que quiero hijos si con {{PERSON}} (mi perrita) tengo más que suficiente. Cada lunes vamos al veterinario a revisión y a que le mande sus medicamentos de cada semana. Lit solo trabajo para ella 🥹,Cuidado de mascotas
México,USER_84792f5a6b,Estoy bien arrepentida de no haber comprado la membresía para los boletos de blackpink 😭😭😭,Conciertos y entradas
México,USER_84792f5a6b,Enero no contó así que… ¡Feliz Año Nuevo! 🥳,Humor y festividades
México,USER_84792f5a6b,Todos los que fuimos a la primera fecha viendo el setlist del día 2 del concierto de los {{USER_MENTION}} {{URL}},Conciertos y música
México,USER_84792f5a6b,Un like y quemo a la agencia horrible con la que trabajo. 😡 {{URL}},Queja laboral
México,USER_84792f5a6b,placeres de la vida: ver la luna.,Apreciación de la naturaleza
México,USER_84792f5a6b,Pésima la transmisión de la plataforma de neerme y pésimo que se filtrara la ganadora. Odio aquí. #LMD4,Queja sobre contenido
México,USER_84792f5a6b,SUBAAAAANLOOO A YOUTUBE 🥺#LMD4,Petición de contenido
México,USER_4458b1b0a1,RT {{USER_MENTION}}: como se siente esperar y esperar y esperar y esperar y esperar y esperar y seguir esperando {{URL}},Frustración
México,USER_4458b1b0a1,RT {{USER_MENTION}}: yo pleno {{NUMBER}} en {{LOCATION}} defendiendo el monumento a la bandera porque lo quieren hacer una sinagoga  {{URL}},Conflicto cultural
México,USER_4458b1b0a1,"RT {{USER_MENTION}}: cuando {{PERSON}} dijo: ""hay cosas que quiero decirte, pero simplemente te dejaré vivir"". Bro, I really felt that",Reflexión sobre relaciones
México,USER_4458b1b0a1,RT {{USER_MENTION}}: love letter to my soul {{URL}},Auto-reflexión
México,USER_4458b1b0a1,RT {{USER_MENTION}}: hay muchisimo amor y madurez en saber borrarte de una de la vida de quien decidio no elegirte,Ruptura amorosa
México,USER_4458b1b0a1,Hoy si siento que {{PERSON}} me soltó de la mano,Sentimientos de pérdida
México,USER_4458b1b0a1,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable
México,USER_4458b1b0a1,"RT {{USER_MENTION}}: Whether it’s accidental or intentional, weirdness is one of the reasons that make certain movies {{PERSON}}. We present y…",Cine y series
México,USER_4458b1b0a1,"Si creer en el amor es un circo, yo soy la payasa estelar del show.
 {{PERSON}}",Humor sobre el amor
México,USER_4458b1b0a1,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable
México,USER_4458b1b0a1,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable
México,USER_4458b1b0a1,RT {{USER_MENTION}}: I'm putting together a team. {{URL}},Cultura pop
México,USER_4458b1b0a1,Es que {{PERSON}} es goal de marido,Ideal de pareja
México,USER_4458b1b0a1,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable
México,USER_4458b1b0a1,RT {{USER_MENTION}}: russia was truly ahead of the west by 20 years when they made ‘I am dragon’ ({{NUMBER}}) and had a dragon obsessed princess get ca…,Cine y series
México,USER_4458b1b0a1,RT {{USER_MENTION}}: {{PERSON}} {{URL}},Contenido no interpretable
México,USER_4458b1b0a1,"RT {{USER_MENTION}}: The Minotaur is not a monster but a sacred figure, the divine child, the initiatory bull-god, the embodiment of apotheosis thr…",Mitología
México,USER_4458b1b0a1,Y esta reina? {{URL}},Admiración
México,USER_4458b1b0a1,RT {{USER_MENTION}}: Bueno me voy a radicalizar y tengo dos opciones guerrilla o delirio religioso,Humor
México,USER_4458b1b0a1,"RT {{USER_MENTION}}: Debemos resistir a la mercantilización de las necesidades humanas esenciales. El agua, los alimentos y la asistencia sanit…",Activismo social
México,USER_4458b1b0a1,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable
México,USER_4458b1b0a1,RT {{USER_MENTION}}: OBRA MAESTRA. {{URL}},Apreciación artística
México,USER_803283a1e3,Hola {{USER_MENTION}} no tengo línea ni WIFI 😔 Metele nitro a mi reporte papito que el futuro de {{LOCATION}} tiene exámenes hoy 😪😪,Contenido no interpretable
México,USER_803283a1e3,"Me desearon lo mejor.
Y llegaste tu... 💞",Contenido no interpretable
México,USER_803283a1e3,Sustos que dan gusto 😏 no era 6 💅 {{URL}},Contenido no interpretable
México,USER_803283a1e3,Que bueno que no tengo nada que me una a ese pinche barrio culero 🤣,Contenido no interpretable
México,USER_803283a1e3,Todos los perros días de la vida... 🤭,Contenido no interpretable
México,USER_803283a1e3,"WEY A HUEVO QUE EL {{LOCATION}} CON ESTA POESIA!!💕
""Te voy a confesar que
Tú eres mi crush hace rato👽🤘
No sé si tienes gata o tienes gato
Tranquila, ma', que yo no te delato""
 #BadBunnyNobeldeLiteratura {{URL}}",Contenido no interpretable
México,USER_803283a1e3,{{USER_MENTION}}  Cada día más me inspiras a ser mejor enfermera y mejor ser humano 😉💟,Contenido no interpretable
México,USER_803283a1e3,#AyMijitoTuQueEstudiaste enfermería checale la presión a las llantas del bocho {{PERSON}},Contenido no interpretable
México,USER_803283a1e3,¿Ya les dije que amo mucho a {{USER_MENTION}}? {{URL}},Contenido no interpretable
México,USER_803283a1e3,#MeEmocionasYLuego me entero que así le hablas a todas las enfermeras 😒😒 {{URL}},Contenido no interpretable
México,USER_803283a1e3,#SiMerezcoAbundancia {{URL}},Contenido no interpretable
México,USER_803283a1e3,#SoyLoQueBuscas  pero en enfermera culera del IMSS 💁💅😌,Contenido no interpretable
México,USER_803283a1e3,{{USER_MENTION}} no puede estar lejos de mi muahahahaha 🙊💜,Contenido no interpretable
México,USER_803283a1e3,Me acorde de {{USER_MENTION}} con este gift 🙊 {{URL}},Contenido no interpretable
México,USER_803283a1e3,Ella hace mis días. {{URL}},Contenido no interpretable
México,USER_803283a1e3,"Díganle a {{USER_MENTION}} que me cae gorda 🙊💜😘
#NowPlaying Let It Happen de Tame Impala ♫ {{URL}}",Contenido no interpretable
México,USER_803283a1e3,¿Esta mal si comienzo a quererle aunque me déteste? {{URL}},Contenido no interpretable
México,USER_803283a1e3,#YYoAquíCasual empezando a quererle. {{URL}},Contenido no interpretable
México,USER_803283a1e3,{{PERSON}} feo khe zeas azi 😂 {{URL}},Contenido no interpretable
México,USER_803283a1e3,"$100, tacos y {{USER_MENTION}} ¿puede haber algo mejor? {{URL}}",Contenido no interpretable
México,USER_803283a1e3,💜💜🙊ya tengo un nuevo trauma 😏😏 {{URL}},Contenido no interpretable
México,USER_803283a1e3,Yo no tengo la culpa que seas una idiotita. 💁💅 {{LOCATION}} bye 😘😘,Contenido no interpretable
México,USER_0bb5e1f671,Ola buenas noche a todos :),Saludo
México,USER_0bb5e1f671,Yo triste mucho :'( :'( {{URL}},Sentimiento personal
México,USER_0bb5e1f671,Yo triste por mi {{LOCATION}} la extraño mucho mas de lo q ma imagine la amo y quiero muchísimo mas {{URL}},Afecto por un lugar
México,USER_0bb5e1f671,Yo así :'( :'( :'( :'( :'( {{URL}},Contenido no interpretable
México,USER_0bb5e1f671,Sufro por una persona muy importante en mi vida y en mi amor &lt;3 :'( :'( {{URL}},Amor y relaciones
México,USER_0bb5e1f671,Ya no sé qué hacer :'(,Sentimiento de impotencia
México,USER_0bb5e1f671,Extraño mucho mucho con toda mi alma A mi Novia muchísimo mas &lt;3 :'(,Sentimiento por la pareja
México,USER_0bb5e1f671,La vida es muy triste sin esa persona,Sentimiento por la ausencia
México,USER_0bb5e1f671,Extraño Mucho a una persona q amo y quiero mucho &lt;3,Extrañar a alguien querido
México,USER_0bb5e1f671,Ya estoy empezando &lt;3,Contenido no interpretable
México,USER_0bb5e1f671,Me siento muy mal me duele el pecho la garganta,Malestar físico
México,USER_0bb5e1f671,Ya me hicieron enojar tan feliz que estabas,Sentimiento de enojo
México,USER_0bb5e1f671,qué opinan de esta foto {{URL}},Interacción sobre imagen
México,USER_0bb5e1f671,{{URL}},Contenido no interpretable
México,USER_639dfa89cc,Ni  me duele :(,Sentimientos personales
México,USER_639dfa89cc,Ya fugaa 🇮🇹✈️{{USER_MENTION}} {{USER_MENTION}},Viajes
México,USER_639dfa89cc,{{PERSON}} fake people showin' fake love to me,Desilusión interpersonal
México,USER_639dfa89cc,{{URL}},Contenido no interpretable
México,USER_639dfa89cc,El tiempo siempre pone todo en su lugar ☝🏼,Reflexión
México,USER_639dfa89cc,if i ever loved you I'll always love you that's how I was raised,Lealtad y valores
México,USER_639dfa89cc,Era de esperarse 🤔🤔,Resignación
México,USER_639dfa89cc,{{PERSON}} quien quiere ponerse una pedota este fin {{URL}},Ocio y fiesta
México,USER_639dfa89cc,Puras decepciones,Decepción
México,USER_639dfa89cc,No hay dos sin tres,Predicción
México,USER_639dfa89cc,{{USER_MENTION}} a k hora te deportan pa q ya te regreses espregunta,Interacción conflictiva
México,USER_639dfa89cc,Quiero taquitos,Comida
México,USER_639dfa89cc,Nunca confíen en una asiática,Estereotipos
México,USER_639dfa89cc,{{USER_MENTION}} hola,Saludo
México,USER_639dfa89cc,Laurasad,Tristeza
México,USER_639dfa89cc,Hola las quiero mucho {{USER_MENTION}} {{USER_MENTION}},Afecto
México,USER_639dfa89cc,a {{PERSON}} se t quita lo puto espregunta,Agresión verbal
México,USER_639dfa89cc,{{PERSON}} traumada,Crítica personal
México,USER_639dfa89cc,Qué bajo caíste 😳,Crítica personal
México,USER_639dfa89cc,Te quiero matar,Hostilidad
México,USER_639dfa89cc,{{USER_MENTION}} PELA WA AHORA,Confrontación
México,USER_639dfa89cc,No se que hice para merecer a mi perrita😩😩😩😍,Afecto animal
México,USER_51237f8a03,me da demasiada satisfacción que el {{NUMBER}} empezará en lunes,Satisfacción personal
México,USER_51237f8a03,it’s like wishing for rain as I stand in the desert,Deseo/anhelo
México,USER_51237f8a03,in my healing era y que se vayan a la chingada todos,Bienestar personal
México,USER_51237f8a03,a mi no me pueden poner un día nublado porque inconscientemente es un día inhábil para mi,Estado de ánimo/clima
México,USER_51237f8a03,me caga la gente que minimiza los sentimientos de los demás,Queja social
México,USER_51237f8a03,la distancia le da mucho espacio a la imaginación,Reflexión
México,USER_51237f8a03,ya quiero que mis primitos tengan novia para ser la prima celosa,Humor familiar
México,USER_51237f8a03,{{PERSON}} demasiado a mi novio 🥺❤️‍🩹🥰,Amor romántico
México,USER_51237f8a03,extraño a mi yo de antes,Nostalgia
México,USER_51237f8a03,"como me encanta que mi novio me chulee siempre, arreglada, recién levantada, en pijamas, cansada, de postguardia, borracha, triste, dormida 💘💘 no puedo pedir más",Aprecio en pareja
México,USER_51237f8a03,Odio pensar tanto,Frustración personal
México,USER_51237f8a03,no se que hice para {{LOCATION}} ❤️‍🩹,Contenido no interpretable
México,USER_51237f8a03,odio esta rutina de hospital-casa-hospital,Queja sobre rutina
México,USER_51237f8a03,solo necesito un abrazo,Necesidad de afecto
México,USER_51237f8a03,y coincidir aquel día,Reflexión
México,USER_51237f8a03,se me parte el corazón cada vez que pienso en eso,Sufrimiento emocional
México,USER_51237f8a03,"en la disco había mil, pero yo bailando contigo en mi mente",Enfoque romántico
México,USER_51237f8a03,una semana para mi cumpleaños 🥳🥳,Anticipación de cumpleaños
México,USER_51237f8a03,amigo amigo amigo amigo o aaaamigo?,Reflexión sobre amistad
México,USER_51237f8a03,al menos tengo el hígado destrozado y no el corazón lol,Humor negro
México,USER_51237f8a03,need un pastel de zanahoria,Antojo
México,USER_12938b8640,"Me encantan las noches de insomnio, pero me caga que no me dejes tu culito para distraerme!",Deseo sexual
México,USER_12938b8640,Es mejor evitar hacer huecos que tratar de taparlos cuando ya está hechos.,Reflexión
México,USER_12938b8640,"Bueno, no hay duda que me hiciste ver mi suerte. Te pasaste de pistola. Pero no hay pedo",Conflictos interpersonales
México,USER_12938b8640,Que te digan te amo no tiene precio. Pero que te diga que te ama y se va con otro es no tener puta madre,Desengaño amoroso
México,USER_12938b8640,Le doy gracias a todas aqullas culeras que me han hecho ser la persona que soy. Lo lamento por las que vienen.,Afirmación personal
México,USER_12938b8640,Adivinen a quien le rogaron de nuevo?. No he perdido el toque.,Autoafirmación
México,USER_12938b8640,"{{PERSON}} magos, gracias por no traerme nada este año, pero nos vemos el 10 de mayo y el día del padre.",Humor festivo
México,USER_12938b8640,"No mames {{USER_MENTION}} Te odio, escuchar tu voz me desagrada.",Aversión
México,USER_12938b8640,Ups Sorry {{USER_MENTION}} era comerme...,Disculpa
México,USER_12938b8640,{{PERSON}} en calz de {{LOCATION}} y div.  Del norte {{USER_MENTION}},Ubicación
México,USER_12938b8640,"A la verga Sr. Si no está herido.
NO le mandó al ajustado. He dicho",Disputa
