territorio,usuario,tweet
Venezuela,USER_d8ce079495,A pesar de que ni andemos conmigo cuentas mi amor contigo siempre en todas estoy contigo mi reina {{USER_MENTION}}
Venezuela,USER_d8ce079495,Porque cada vez que te veo mas te extraño 😔
Venezuela,USER_d8ce079495,{{PERSON}} cuida de su papá
Venezuela,USER_d8ce079495,Mi niña te amooo un montón {{USER_MENTION}}
Venezuela,USER_d8ce079495,Solo recuerda que yo estuve ahí cuando nadie más lo estuvo😕
Venezuela,USER_d8ce079495,Soy un borracho perdido 😂😂😂😂 {{URL}}
Venezuela,USER_d8ce079495,Herrr😍 {{URL}}
Venezuela,USER_d8ce079495,{{LOCATION}} nos espera niña {{USER_MENTION}}
Venezuela,USER_d8ce079495,Algunas personas pasan por nuestra vida para enseñarnos a no ser como ellas.
Venezuela,USER_d8ce079495,Todo después de un tiempo deja de doler o importar.
Venezuela,USER_d8ce079495,Si tú la ves - Nicky Jam Ft Wisin (Concept Video) (Álbum Fenix) {{URL}} vía {{USER_MENTION}}
Venezuela,USER_a88dc84526,2 people followed me and 3 people unfollowed me // automatically checked by {{URL}}
Venezuela,USER_a88dc84526,3 people followed me and 2 people unfollowed me // automatically checked by {{URL}}
Venezuela,USER_a88dc84526,uno conmigo jugó ahora con todos yo juego💔
Venezuela,USER_a88dc84526,😍😍 {{URL}}
Venezuela,USER_a88dc84526,6 people followed me // automatically checked by {{URL}}
Venezuela,USER_a88dc84526,2 people followed me and 3 people unfollowed me // automatically checked by {{URL}}
Venezuela,USER_a88dc84526,{{PERSON}} crunching for the past week - 13 new followers and 16 unfollowers. Stats via {{URL}}
Venezuela,USER_a88dc84526,"New week, new tweets, new stats. 19 followers, 22 unfollowers. Via good old {{URL}}"
Venezuela,USER_a88dc84526,Arrodillate mamame el bicho ponte en 4 que tu cree 💪
Venezuela,USER_a88dc84526,"Chingar Conmigo Es Mas Rico Que Con El 
Olvídate de el ..👌"
Venezuela,USER_a88dc84526,Se ríe y me dice que rico🎤
Venezuela,USER_a88dc84526,👑👑💰💰💰💸💸💸😯
Venezuela,USER_a88dc84526,Entonces bailame lento que yo quiero sentir tu cuerpo.🔥
Venezuela,USER_a88dc84526,Ozuna bae 😍😈💘
Venezuela,USER_a88dc84526,por que tu eres sólo Mío Y ella {{PERSON}} tiene que entender 🎶🎶🎵👏💎
Venezuela,USER_a88dc84526,"PUTA BARATA, según mi madre"
Venezuela,USER_a88dc84526,Eres esclavo de lo que dices y guardián de lo que callas
Venezuela,USER_a88dc84526,"El dolor después de entrenar, creo que único💪🏻"
Venezuela,USER_a88dc84526,dile que yo soy el que te quiere🎤😏
Venezuela,USER_a88dc84526,"Cuando llegues y te cuente todo lo que te soñé y te esperé, no querrás irte nunca."
Venezuela,USER_a88dc84526,{{USER_MENTION}} {{URL}}
Venezuela,USER_a88dc84526,"Gained 17 new followers in the past week. I’m growing my account the right way, are you? Do it with {{URL}}"
Venezuela,USER_209d03d8fe,"He perdido la noción de lo que es propio, nos han llenado tanto la cabeza de tener y obtener cosas que nos sentimos dueños de todo y no somos dueños ni de nosotros mismos."
Venezuela,USER_209d03d8fe,"Cada tanto vuelvo y escribo, cada tanto vuelvo, cada tanto, cada."
Venezuela,USER_209d03d8fe,Veo a todos tan apresurados y ansiosos por llegar hacia una vida estable que no les importa quién los acompaña y se llevan al primero que les ofrece un poco de agua.
Venezuela,USER_209d03d8fe,Decide rápido o te dará ansiedad.
Venezuela,USER_209d03d8fe,He visto gente que internaliza tanto sus problemas que los convierten en fetos.
Venezuela,USER_209d03d8fe,"Vi como crecías, {{PERSON}}."
Venezuela,USER_209d03d8fe,"Destrozo todo siempre, con esta metodología de cambiar y no reparar aprendí a no cuidar."
Venezuela,USER_209d03d8fe,"Te ansío, edad."
Venezuela,USER_209d03d8fe,"Así sea mámala, a la mamá es {{PERSON}}."
Venezuela,USER_209d03d8fe,"Te perdí, miedo."
Venezuela,USER_209d03d8fe,Ojalá pudieras entender que no soy yo lo que quise ser siempre.
Venezuela,USER_209d03d8fe,Cuando conoces realmente la felicidad es imposible no querer volver a ella una y otra vez.
Venezuela,USER_209d03d8fe,"Justo el día que cumplís 18 años, maduras o vas preso."
Venezuela,USER_209d03d8fe,"¿Cómo va esa tolerancia, paciencia?"
Venezuela,USER_209d03d8fe,El país en el que todos queremos vivir. {{URL}}
Venezuela,USER_209d03d8fe,Todos hablan de tolerancia cuando es a favor de ellos.
Venezuela,USER_209d03d8fe,"Échate un poco más al lado de la razón, incrédulo."
Venezuela,USER_209d03d8fe,"Un día sabrás que ser, día."
Venezuela,USER_209d03d8fe,"Hombre, la vida es muy dura para que pienses con ella."
Venezuela,USER_209d03d8fe,Todo estaba bien hasta que llegaron los que saben y dijeron que no.
Venezuela,USER_209d03d8fe,"{{LOCATION}} {{PERSON}}, se te puede salir la basura."
Venezuela,USER_209d03d8fe,La humanidad siempre está pidiendo humanidad.
